"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Christian McCaffrey",SF,"9","6.8","0","+1.1","50% (8/16)"
"2",1,"Nick Chubb",CLE,"5","3.2","+3","+0.4","50% (8/16)"
"3",1,"Austin Ekeler",LAC,"5","4.4","-1","+0.4","47% (8/17)"
"4",1,"Bijan Robinson",ATL,"11","5.2","-1","-","-"
"5",2,"Derrick Henry",TEN,"7","7.4","+1","+1.3","53% (8/15)"
"6",2,"Saquon Barkley",NYG,"13","3.0","-2","-1.1","37% (6/16)"
"7",2,"Jonathan Taylor",IND,"11","4.8","+1","-5.1","27% (3/11)"
"8",2,"Tony Pollard",DAL,"7","4.4","-1","+3.2","60% (9/15)"
"9",2,"Josh Jacobs",LV,"13","4.4","0","+2.8","56% (9/16)"
"10",3,"Najee Harris",PIT,"6","5.6","0","0.0","43% (7/16)"
"11",3,"Travis Etienne Jr.",JAC,"9","2.8","+2","-0.8","56% (9/16)"
"12",3,"Joe Mixon",CIN,"7","5.0","0","-1.4","35% (5/14)"
"13",3,"Rhamondre Stevenson",NE,"11","2.8","-2","-0.9","50% (8/16)"
"14",3,"Aaron Jones",GB,"6","7.2","+3","-0.8","43% (7/16)"
"15",3,"Kenneth Walker III",SEA,"5","3.6","+3","+1.1","42% (6/14)"
"16",3,"Jahmyr Gibbs",DET,"9","8.8","0","-","-"
"17",4,"Miles Sanders",CAR,"7","5.6","+3","+0.7","43% (7/16)"
"18",4,"Breece Hall",NYJ,"7","4.6","-4","+4.9","83% (5/6)"
"19",4,"J.K. Dobbins",BAL,"13","5.0","+2","-0.2","37% (3/8)"
"20",4,"Cam Akers",LAR,"10","4.4","+3","+0.9","42% (6/14)"
"21",4,"Alexander Mattison",MIN,"13","8.0","-2","-0.3","37% (6/16)"
"22",4,"Dameon Pierce",HOU,"7","4.0","-7","-1.3","38% (5/13)"
"23",4,"James Conner",ARI,"14","5.2","-1","+0.7","53% (7/13)"
"24",5,"David Montgomery",DET,"9","8.2","+3","-1.4","40% (6/15)"
"25",5,"Isiah Pacheco",KC,"10","6.6","+3","-0.5","41% (7/17)"
"26",5,"Rachaad White",TB,"5","5.8","+3","-0.1","37% (6/16)"
"27",5,"Javonte Williams",DEN,"9","6.6","-2","-2.8","33% (1/3)"
"28",5,"James Cook",BUF,"13","2.6","+2","+1.4","56% (9/16)"
"29",5,"Alvin Kamara",NO,"11","7.0","-5","-2.9","21% (3/14)"
"30",5,"D'Andre Swift",PHI,"10","2.2","-4","+1.3","46% (6/13)"
"31",5,"Dalvin Cook",NYJ,"7","8.0","+1","-2.0","31% (5/16)"
"32",5,"Khalil Herbert",CHI,"13","8.2","+5","+2.3","41% (5/12)"
"33",5,"Brian Robinson Jr.",WAS,"14","5.2","-2","-0.2","41% (5/12)"
"34",5,"AJ Dillon",GB,"6","7.2","-1","+0.8","31% (5/16)"
"35",5,"Rashaad Penny",PHI,"10","1.0","0","+0.3","25% (1/4)"
"36",5,"Antonio Gibson",WAS,"14","4.4","-2","-0.3","33% (5/15)"
"37",5,"Jamaal Williams",NO,"11","7.0","+1","+2.2","50% (8/16)"
"38",6,"Samaje Perine",DEN,"9","6.8","+2","+1.8","50% (8/16)"
"39",6,"Zach Charbonnet",SEA,"5","3.4","-3","-","-"
"40",6,"Elijah Mitchell",SF,"9","6.8","+2","-1.4","25% (1/4)"
"41",6,"Damien Harris",BUF,"13","1.2","0","-0.8","50% (5/10)"
"42",6,"Tyler Allgeier",ATL,"11","5.2","+3","+2.2","53% (8/15)"
"43",6,"De'Von Achane",MIA,"10","1.8","-4","-","-"
"44",6,"Jeff Wilson Jr.",MIA,"10","1.8","+9","-0.1","60% (9/15)"
"45",6,"Raheem Mostert",MIA,"10","1.6","+2","-0.4","46% (7/15)"
"46",6,"Jerick McKinnon",KC,"10","7.2","-3","+2.6","58% (10/17)"
"47",6,"D'Onta Foreman",CHI,"13","8.6","-3","+0.1","37% (6/16)"
