"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Ja'Marr Chase",CIN,"7","5.6","+1","-1.2","33% (4/12)"
"2",1,"Justin Jefferson",MIN,"13","4.0","-1","+1.4","56% (9/16)"
"3",1,"Tyreek Hill",MIA,"10","4.2","0","+1.0","50% (8/16)"
"4",1,"Cooper Kupp",LAR,"10","4.4","0","0.0","66% (6/9)"
"5",2,"Stefon Diggs",BUF,"13","1.0","0","-0.9","43% (7/16)"
"6",2,"A.J. Brown",PHI,"10","5.0","0","+0.6","50% (8/16)"
"7",2,"CeeDee Lamb",DAL,"7","2.8","0","+0.7","50% (8/16)"
"8",2,"Davante Adams",LV,"13","1.8","0","+0.5","43% (7/16)"
"9",2,"Amon-Ra St. Brown",DET,"9","4.4","+1","-0.4","33% (5/15)"
"10",3,"Garrett Wilson",NYJ,"7","3.6","-1","-0.4","31% (5/16)"
"11",3,"Jaylen Waddle",MIA,"10","4.4","0","+0.3","50% (8/16)"
"12",3,"Chris Olave",NO,"11","9.0","+2","-0.5","35% (5/14)"
"13",3,"Tee Higgins",CIN,"7","6.0","+2","-1.3","37% (6/16)"
"14",3,"Amari Cooper",CLE,"5","5.6","+4","+0.5","43% (7/16)"
"15",3,"DeVonta Smith",PHI,"10","5.2","-3","+1.7","62% (10/16)"
"16",3,"Deebo Samuel",SF,"9","6.8","-3","-2.8","25% (3/12)"
"17",3,"DK Metcalf",SEA,"5","6.8","0","-1.9","43% (7/16)"
"18",4,"Calvin Ridley",JAC,"9","8.6","-2","-","-"
"19",4,"DJ Moore",CHI,"13","4.4","+2","-1.0","37% (6/16)"
"20",4,"Christian Watson",GB,"6","5.2","+2","+2.6","46% (6/13)"
"21",4,"Keenan Allen",LAC,"5","4.6","-1","-2.0","50% (5/10)"
"22",4,"Jerry Jeudy",DEN,"9","3.6","+1","+0.3","50% (7/14)"
"23",4,"Terry McLaurin",WAS,"14","3.6","+1","-1.2","43% (7/16)"
"24",4,"DeAndre Hopkins",TEN,"7","5.6","-5","-0.9","33% (3/9)"
"25",5,"Brandon Aiyuk",SF,"9","6.4","+3","+1.3","50% (8/16)"
"26",5,"Mike Williams",LAC,"5","4.8","+1","-1.0","50% (6/12)"
"27",5,"Drake London",ATL,"11","5.2","-1","-1.2","43% (7/16)"
"28",5,"Tyler Lockett",SEA,"5","5.0","+4","+0.1","53% (8/15)"
"29",5,"Christian Kirk",JAC,"9","8.8","-4","-0.8","37% (6/16)"
"30",5,"Mike Evans",TB,"5","7.8","+1","-0.4","40% (6/15)"
"31",5,"Chris Godwin",TB,"5","6.8","-1","-0.4","35% (5/14)"
"32",5,"Diontae Johnson",PIT,"6","4.8","+4","-2.3","18% (3/16)"
"33",5,"Marquise Brown",ARI,"14","6.0","+2","-0.5","27% (3/11)"
"34",5,"Jahan Dotson",WAS,"14","4.2","-1","+2.8","54% (6/11)"
"35",5,"Michael Pittman Jr.",IND,"11","6.4","+2","-1.6","33% (5/15)"
"36",5,"George Pickens",PIT,"6","6.2","-7","-0.3","56% (9/16)"
"37",5,"Gabe Davis",BUF,"13","1.0","+1","-0.9","33% (5/15)"
"38",5,"Jordan Addison",MIN,"13","4.2","-4","-","-"
"39",6,"Jaxon Smith-Njigba",SEA,"5","6.2","0","-","-"
"40",6,"Treylon Burks",TEN,"7","5.6","0","-0.4","40% (4/10)"
"41",6,"Brandin Cooks",DAL,"7","2.2","0","-2.9","16% (2/12)"
"42",6,"Courtland Sutton",DEN,"9","3.6","+1","-3.1","28% (4/14)"
"43",6,"Elijah Moore",CLE,"5","5.4","+5","-2.2","13% (2/15)"
"44",6,"Quentin Johnston",LAC,"5","4.4","+2","-","-"
"45",6,"Zay Flowers",BAL,"13","4.8","0","-","-"
"46",6,"Rashod Bateman",BAL,"13","6.4","+8","-1.9","33% (2/6)"
"47",6,"Kadarius Toney",KC,"10","1.4","-3","-2.2","33% (3/9)"
"48",6,"Michael Thomas",NO,"11","8.8","-6","+4.2","66% (2/3)"
"49",6,"JuJu Smith-Schuster",NE,"11","2.6","-2","-2.5","31% (5/16)"
"50",6,"Skyy Moore",KC,"10","1.4","+2","-1.4","31% (5/16)"
"51",6,"Jakobi Meyers",LV,"13","2.0","+4","+0.7","38% (5/13)"
"52",6,"Nico Collins",HOU,"7","6.8","+8","+0.3","50% (5/10)"
"53",6,"Odell Beckham Jr.",BAL,"13","4.8","-4","-","-"
"54",6,"Allen Lazard",NYJ,"7","4.6","-3","-0.9","42% (6/14)"
"55",7,"Jameson Williams",DET,"9","5.0","-5","-1.0","40% (2/5)"
"56",7,"Darnell Mooney",CHI,"13","5.4","+3","-1.9","41% (5/12)"
"57",7,"Romeo Doubs",GB,"6","5.6","-1","-0.8","50% (6/12)"
"58",7,"Tyler Boyd",CIN,"7","6.2","0","+0.4","50% (8/16)"
"59",7,"DJ Chark Jr.",CAR,"7","6.0","+8","+0.2","50% (5/10)"
"60",7,"Adam Thielen",CAR,"7","6.6","-7","-0.9","37% (6/16)"
