RK,TIERS,PLAYER NAME,TEAM,BYE WEEK,STRENGTH OF SCHEDULE ,ECR VS. ADP,AVG. POINTS ,% GAMES 
1,1,Josh Allen,BUF,13,4.2,1,-0.4,43% (7/16)
2,1,Jalen Hurts,PHI,10,4,1,3.2,71% (10/14)
3,1,Patrick Mahomes,KC,10,5,-2,1.4,64% (11/17)
4,2,Lamar Jackson,BAL,13,5,1,-2.5,25% (3/12)
5,2,Joe Burrow,CIN,7,4.6,-1,2.9,56% (9/16)
6,2,Justin Fields,CHI,13,7.8,1,2.8,66% (10/15)
7,2,Justin Herbert,LAC,5,4.8,-1,-3.7,35% (6/17)
8,2,Trevor Lawrence,JAC,9,5.4,0,1.9,56% (9/16)
9,3,Deshaun Watson,CLE,5,4,0,-2.4,40% (2/5)
10,3,Dak Prescott,DAL,7,3.4,0,0.7,54% (6/11)
11,3,Tua Tagovailoa,MIA,10,2.2,0,0.1,38% (5/13)
12,3,Daniel Jones,NYG,13,1.4,2,2.2,62% (10/16)
13,3,Geno Smith,SEA,5,3.2,2,1.4,62% (10/16)
14,3,Kirk Cousins,MIN,13,6.4,-1,1,50% (8/16)
15,3,Aaron Rodgers,NYJ,7,4,-3,-2.1,25% (4/16)
16,3,Anthony Richardson,IND,11,5.4,0,-,-
17,3,Jared Goff,DET,9,6.6,0,1.6,56% (9/16)
18,4,Russell Wilson,DEN,9,7.6,0,-1.1,28% (4/14)
19,4,Matthew Stafford,LAR,10,2,4,-3.7,33% (3/9)
20,4,Derek Carr,NO,11,8.8,2,-1.4,40% (6/15)
21,4,Kenny Pickett,PIT,6,3.6,-1,-1.2,26% (4/15)
22,4,Jordan Love,GB,6,9.6,4,0,14% (2/14)
23,4,Brock Purdy,SF,9,4.4,-2,1,41% (5/12)
24,4,Bryce Young,CAR,7,7,-5,-,-
25,4,Kyler Murray,ARI,14,2.4,-1,-1.1,36% (4/11)
26,4,Ryan Tannehill,TEN,7,6.8,3,-0.6,41% (5/12)
27,4,Sam Howell,WAS,14,1.6,3,-0.3,0% (0/3)
28,4,Jimmy Garoppolo,LV,13,6.2,-1,2.5,54% (6/11)
29,4,C.J. Stroud,HOU,7,6,-4,-,-
30,4,Mac Jones,NE,11,3.4,-2,-1.6,30% (4/13)
31,5,Desmond Ridder,ATL,11,7,2,-1.4,0% (0/15)
32,5,Baker Mayfield,TB,5,5.6,0,-0.2,28% (4/14)
33,5,Trey Lance,SF,9,3.8,-2,-11.9,0% (0/2)
34,5,Will Levis,TEN,7,7,4,-,-
35,5,Jacoby Brissett,WAS,14,1,15,0.4,35% (5/14)
36,6,Colt McCoy,ARI,14,2.6,1,-0.6,20% (2/10)
37,6,Kyle Trask,TB,5,5.6,-3,-0.7,0% (0/1)
38,6,Sam Darnold,SF,9,4.6,-,3.3,66% (4/6)
39,6,Gardner Minshew II,IND,11,5.8,8,-0.4,6% (1/15)
40,6,Jameis Winston,NO,11,9.2,18,-0.9,16% (2/12)
41,6,Taylor Heinicke,ATL,11,7.2,-,-0.9,20% (3/15)
42,6,Bailey Zappe,NE,11,3.2,19,0.5,27% (3/11)
43,6,Tyler Huntley,BAL,13,4.6,-,-2.5,0% (0/15)
44,6,Mike White,MIA,10,2.6,0,-0.3,28% (2/7)
45,6,Jarrett Stidham,DEN,9,7.6,-,0.4,13% (2/15)
46,6,Clayton Tune,ARI,14,-,-,-,-
47,6,Andy Dalton,CAR,7,7,-,-0.8,25% (4/16)
48,6,Davis Mills,HOU,7,6,-6,-0.5,40% (6/15)
49,6,Zach Wilson,NYJ,7,4,-1,-2.3,33% (3/9)
50,7,Stetson Bennett,LAR,10,2.2,-11,-,-
51,7,Marcus Mariota,PHI,10,4,-5,-0.4,53% (7/13)
52,7,Mitch Trubisky,PIT,6,3.6,7,0.3,30% (4/13)
53,7,Malik Willis,TEN,7,6.2,-,-1.5,7% (1/14)
54,7,Aidan O'Connell,LV,13,-,0,-,-
55,7,Carson Wentz,FA,-,-,-,0.9,44% (4/9)
56,7,Brian Hoyer,LV,13,-,-,-,-
57,7,Hendon Hooker,DET,9,6.6,0,-,-
58,7,Tyrod Taylor,NYG,13,1,-,0.2,16% (2/12)
59,7,Nick Mullens,MIN,13,6.4,-,-0.5,7% (1/14)
60,7,Cooper Rush,DAL,7,3.4,-7,-1.5,25% (3/12)
61,7,Drew Lock,SEA,5,3,-,-1,0% (0/14)
62,7,Teddy Bridgewater,DET,9,-,-,0.1,18% (2/11)
63,7,Trevor Siemian,CIN,7,-,-,-,-
64,7,P.J. Walker,CHI,13,7.6,-,-2.6,25% (2/8)
65,7,Joshua Dobbs,CLE,5,4,-,-0.4,8% (1/12)
66,7,C.J. Beathard,JAC,9,5.6,-,-0.9,0% (0/14)
67,7,Kyle Allen,BUF,13,3.6,-16,-1.1,0% (0/10)
68,7,Case Keenum,HOU,7,6,-,-0.9,0% (0/14)
69,7,Blaine Gabbert,KC,10,4.8,-,-,-
70,8,Skylar Thompson,MIA,10,2.8,-,-2,66% (2/3)
71,8,Sean Clifford,GB,6,-,-11,-,-
72,8,Easton Stick,LAC,5,-,-,-,-
73,8,Matt Corral,CAR,7,7,-,-,-
74,8,Dorian Thompson-Robinson,CLE,5,-,-,-,-
75,8,Mason Rudolph,PIT,6,-,-,-2.9,0% (0/1)
76,8,Brett Rypien,LAR,10,-,-,-,-
77,8,Malik Cunningham,NE,11,-,-,-,-
