"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",SF,"9","2 out of 5 stars","0"
"2",1,"Breece Hall",NYJ,"12","2 out of 5 stars","0"
"3",1,"Bijan Robinson",ATL,"12","4 out of 5 stars","0"
"4",2,"Jonathan Taylor",IND,"14","2 out of 5 stars","+1"
"5",2,"Saquon Barkley",PHI,"5","4 out of 5 stars","-1"
"6",2,"Derrick Henry",BAL,"14","3 out of 5 stars","+3"
"7",2,"Jahmyr Gibbs",DET,"5","3 out of 5 stars","-1"
"8",2,"Kyren Williams",LAR,"6","3 out of 5 stars","-1"
"9",3,"Travis Etienne Jr.",JAC,"12","2 out of 5 stars","-1"
"10",3,"Isiah Pacheco",KC,"6","3 out of 5 stars","+2"
"11",3,"Josh Jacobs",GB,"10","1 out of 5 stars","0"
"12",3,"De'Von Achane",MIA,"6","3 out of 5 stars","-2"
"13",3,"Kenneth Walker III",SEA,"10","4 out of 5 stars","+3"
"14",3,"Joe Mixon",HOU,"14","3 out of 5 stars","+1"
"15",3,"James Cook",BUF,"12","2 out of 5 stars","-2"
"16",4,"Rachaad White",TB,"11","5 out of 5 stars","-2"
"17",4,"David Montgomery",DET,"5","3 out of 5 stars","+3"
"18",4,"James Conner",ARI,"11","2 out of 5 stars","0"
"19",4,"Alvin Kamara",NO,"12","5 out of 5 stars","-2"
"20",4,"Najee Harris",PIT,"9","4 out of 5 stars","+3"
"21",4,"Rhamondre Stevenson",NE,"14","2 out of 5 stars","+3"
"22",4,"Aaron Jones",MIN,"6","3 out of 5 stars","-1"
"23",4,"Raheem Mostert",MIA,"6","3 out of 5 stars","+2"
"24",4,"Zamir White",LV,"10","3 out of 5 stars","-2"
"25",4,"D'Andre Swift",CHI,"7","2 out of 5 stars","-6"
"26",5,"Tony Pollard",TEN,"5","3 out of 5 stars","0"
"27",5,"Javonte Williams",DEN,"14","4 out of 5 stars","0"
"28",5,"Brian Robinson Jr.",WAS,"14","3 out of 5 stars","+1"
"29",5,"Devin Singletary",NYG,"11","3 out of 5 stars","+2"
"30",5,"Zack Moss",CIN,"12","3 out of 5 stars","-2"
"31",5,"Jaylen Warren",PIT,"9","4 out of 5 stars","+1"
"32",5,"Gus Edwards",LAC,"5","4 out of 5 stars","+4"
"33",5,"Tyjae Spears",TEN,"5","3 out of 5 stars","+5"
"34",5,"Jerome Ford",CLE,"10","4 out of 5 stars","+1"
"35",5,"Chase Brown",CIN,"12","3 out of 5 stars","+2"
"36",5,"Jonathon Brooks",CAR,"11","4 out of 5 stars","-2"
"37",6,"Blake Corum",LAR,"6","3 out of 5 stars","+2"
"38",6,"Austin Ekeler",WAS,"14","3 out of 5 stars","-5"
