"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"CeeDee Lamb",DAL,"7","3 out of 5 stars","+1"
"2",1,"Tyreek Hill",MIA,"6","2 out of 5 stars","-1"
"3",1,"Ja'Marr Chase",CIN,"12","2 out of 5 stars","+2"
"4",1,"Justin Jefferson",MIN,"6","3 out of 5 stars","0"
"5",2,"Amon-Ra St. Brown",DET,"5","4 out of 5 stars","-2"
"6",2,"A.J. Brown",PHI,"5","2 out of 5 stars","0"
"7",2,"Garrett Wilson",NYJ,"12","4 out of 5 stars","0"
"8",3,"Puka Nacua",LAR,"6","3 out of 5 stars","0"
"9",3,"Deebo Samuel Sr.",SF,"9","2 out of 5 stars","+1"
"10",3,"Mike Evans",TB,"11","3 out of 5 stars","+6"
"11",3,"Marvin Harrison Jr.",ARI,"11","3 out of 5 stars","-2"
"12",3,"Drake London",ATL,"12","4 out of 5 stars","-1"
"13",3,"Nico Collins",HOU,"14","3 out of 5 stars","0"
"14",3,"Brandon Aiyuk",SF,"9","2 out of 5 stars","+1"
"15",3,"Chris Olave",NO,"12","3 out of 5 stars","-1"
"16",3,"DK Metcalf",SEA,"10","3 out of 5 stars","+2"
"17",3,"Davante Adams",LV,"10","3 out of 5 stars","-5"
"18",3,"Jaylen Waddle",MIA,"6","2 out of 5 stars","+2"
"19",4,"Cooper Kupp",LAR,"6","3 out of 5 stars","-2"
"20",4,"DJ Moore",CHI,"7","4 out of 5 stars","-1"
"21",4,"Amari Cooper",CLE,"10","3 out of 5 stars","+4"
"22",4,"Malik Nabers",NYG,"11","3 out of 5 stars","+2"
"23",4,"DeVonta Smith",PHI,"5","2 out of 5 stars","0"
"24",4,"Tee Higgins",CIN,"12","2 out of 5 stars","+3"
"25",4,"George Pickens",PIT,"9","1 out of 5 stars","+1"
"26",4,"Rashee Rice",KC,"6","3 out of 5 stars","+4"
"27",4,"Tank Dell",HOU,"14","3 out of 5 stars","+2"
"28",5,"Michael Pittman Jr.",IND,"14","4 out of 5 stars","-6"
"29",5,"Stefon Diggs",HOU,"14","3 out of 5 stars","-8"
