"Player","Team","Position","Value","Position Rank",
"Christian McCaffrey","SF","RB","$93","RB1",
"CeeDee Lamb","DAL","WR","$75","WR1",
"Bijan Robinson","ATL","RB","$68","RB2",
"Tyreek Hill","MIA","WR","$67","WR2",
"Breece Hall","NYJ","RB","$64","RB3",
"Justin Jefferson","MIN","WR","$56","WR3",
"Ja'Marr Chase","CIN","WR","$55","WR4",
"Amon-Ra St. Brown","DET","WR","$51","WR5",
"Jonathan Taylor","IND","RB","$49","RB4",
"A.J. Brown","PHI","WR","$48","WR6",
"Puka Nacua","LAR","WR","$47","WR7",
"Garrett Wilson","NYJ","WR","$45","WR8",
"Derrick Henry","BAL","RB","$44","RB5",
"Drake London","ATL","WR","$43","WR9",
"Saquon Barkley","PHI","RB","$42","RB6",
"Kyren Williams","LAR","RB","$42","RB7",
"Jahmyr Gibbs","DET","RB","$41","RB8",
"De'Von Achane","MIA","RB","$39","RB9",
"Jalen Hurts","PHI","QB","$39","QB1",
"Josh Allen","BUF","QB","$38","QB2",
"Marvin Harrison Jr.","ARI","WR","$36","WR10",
"Josh Jacobs","GB","RB","$34","RB10",
"Deebo Samuel","SF","WR","$33","WR11",
"Isiah Pacheco","KC","RB","$33","RB11",
"Brandon Aiyuk","SF","WR","$32","WR12",
"Jaylen Waddle","MIA","WR","$32","WR13",
"Mike Evans","TB","WR","$31","WR14",
"Nico Collins","HOU","WR","$31","WR15",
"Travis Etienne","JAX","RB","$31","RB12",
"Lamar Jackson","BAL","QB","$30","QB3",
"Chris Olave","NO","WR","$29","WR16",
"Patrick Mahomes","KC","QB","$27","QB4",
"Joe Mixon","HOU","RB","$27","RB13",
"Davante Adams","LV","WR","$27","WR17",
"Malik Nabers","NYG","WR","$27","WR18",
"Devonta Smith","PHI","WR","$27","WR19",
"DK Metcalf","SEA","WR","$27","WR20",
"Cooper Kupp","LAR","WR","$26","WR21",
"James Cook","BUF","RB","$26","RB14",
"D.J. Moore","CHI","WR","$26","WR22",
"Tank Dell","HOU","WR","$25","WR23",
"Kenneth Walker","SEA","RB","$25","RB15",
"Tee Higgins","CIN","WR","$24","WR24",
"Sam LaPorta","DET","TE","$24","TE1",
"Rashee Rice","KC","WR","$24","WR25",
"David Montgomery","DET","RB","$23","RB16",
"Rachaad White","TB","RB","$22","RB17",
"Stefon Diggs","HOU","WR","$21","WR26",
"Travis Kelce","KC","TE","$20","TE2",
"James Conner","ARI","RB","$20","RB18",
"Zay Flowers","BAL","WR","$20","WR27",
"Amari Cooper","CLE","WR","$19","WR28",
"Christian Kirk","JAX","WR","$18","WR29",
"Najee Harris","PIT","RB","$18","RB19",
"George Pickens","PIT","WR","$17","WR30",
"Anthony Richardson","IND","QB","$17","QB5",
"Kyle Pitts","ATL","TE","$16","TE3",
"George Kittle","SF","TE","$16","TE4",
"Mark Andrews","BAL","TE","$16","TE5",
"Xavier Worthy","KC","WR","$16","WR31",
"Terry McLaurin","WAS","WR","$15","WR32",
"Michael Pittman","IND","WR","$15","WR33",
"Kyler Murray","ARI","QB","$12","QB6",
"Dalton Kincaid","BUF","TE","$11","TE6",
"Rome Odunze","CHI","WR","$11","WR34",
"Joe Burrow","CIN","QB","$11","QB7",
"Raheem Mostert","MIA","RB","$11","RB20",
"Rhamondre Stevenson","NE","RB","$11","RB21",
"C.J. Stroud","HOU","QB","$11","QB8",
"Trey McBride","ARI","TE","$10","TE7",
"Jayden Reed","GB","WR","$10","WR35",
"Zamir White","LV","RB","$10","RB22",
"D'Andre Swift","CHI","RB","$10","RB23",
"Dak Prescott","DAL","QB","$9","QB9",
"Aaron Jones","MIN","RB","$9","RB24",
"Brian Thomas","JAX","WR","$9","WR36",
"Christian Watson","GB","WR","$8","WR37",
"Chris Godwin","TB","WR","$8","WR38",
"Keenan Allen","CHI","WR","$7","WR39",
"DeAndre Hopkins","TEN","WR","$7","WR40",
"Calvin Ridley","TEN","WR","$6","WR41",
"Jayden Daniels","WAS","QB","$6","QB10",
"Alvin Kamara","NO","RB","$6","RB25",
"Devin Singletary","NYG","RB","$6","RB26",
"Brian Robinson","WAS","RB","$5","RB27",
"Ladd McConkey","LAC","WR","$5","WR42",
"Jordan Love","GB","QB","$5","QB11",
"Tony Pollard","TEN","RB","$4","RB29",
"Caleb Williams","CHI","QB","$3","QB12",
"Jaxon Smith-Njigba","SEA","WR","$3","WR43",
"Keon Coleman","BUF","WR","$3","WR44",
"Zack Moss","CIN","RB","$3","RB30",
"Jameson Williams","DET","WR","$3","WR45",
"Evan Engram","JAX","TE","$3","TE8",
"Javonte Williams","DEN","RB","$2","RB28",
"Jaylen Warren","PIT","RB","$2","RB31",
"Gus Edwards","LAC","RB","$2","RB32",
"Marquise Brown","KC","WR","$2","WR46",
"Taysom Hill","NO","TE","$2","TE9",
"Chase Brown","CIN","RB","$2","RB33",
"David Njoku","CLE","TE","$2","TE11",
"Josh Palmer","LAC","WR","$2","WR49",
"Brock Bowers","LV","TE","$2","TE12",
"Rashid Shaheed","NO","WR","$2","WR50",
"Courtland Sutton","DEN","WR","$2","WR51",
"Jerome Ford","CLE","RB","$2","RB35",
"Tyjae Spears","TEN","RB","$2","RB36",
"Blake Corum","LAR","RB","$2","RB37",
"Gabe Davis","JAX","WR","$2","WR53",
"Curtis Samuel","BUF","WR","$2","WR54",
"Dallas Goedert","PHI","TE","$2","TE13",
"Ezekiel Elliott","DAL","RB","$2","RB40",
"Jerry Jeudy","CLE","WR","$2","WR59",
"Tyler Lockett","SEA","WR","$2","WR60",
"Diontae Johnson","CAR","WR","$1","WR47",
"Trevor Lawrence","JAX","QB","$1","QB13",
"Jordan Addison","MIN","WR","$1","WR48",
"Brock Purdy","SF","QB","$1","QB14",
"Jake Ferguson","DAL","TE","$1","TE10",
"Jonathon Brooks","CAR","RB","$1","RB34",
"Kirk Cousins","ATL","QB","$1","QB15",
"Khalil Shakir","BUF","WR","$1","WR52",
"Trey Benson","ARI","RB","$1","RB38",
"Tua Tagovailoa","MIA","QB","$1","QB16",
"Romeo Doubs","GB","WR","$1","WR55",
"Rico Dowdle","DAL","RB","$1","RB39",
"Mike Williams","NYJ","WR","$1","WR56",
"Jakobi Meyers","LV","WR","$1","WR57",
"Brandin Cooks","DAL","WR","$1","WR58",
"Chuba Hubbard","CAR","RB","$1","RB42",
"Austin Ekeler","WAS","RB","$1","RB43",
"Zach Charbonnet","SEA","RB","$1","RB44",
"Nick Chubb","CLE","RB","$1","RB45",
"Dontayvion Wicks","GB","WR","$1","WR61",
"Jared Goff","DET","QB","$1","QB17",
"Tyler Allgeier","ATL","RB","$1","RB46",
"Darnell Mooney","ATL","WR","$1","WR62",
"Justin Herbert","LAC","QB","$1","QB18",
"Ty Chandler","MIN","RB","$1","RB47",
"Dallas Cowboys","DAL","DST","$1","DST1",
"Dalton Schultz","HOU","TE","$1","TE14",
"New York Jets","NYJ","DST","$1","DST2",
"Jaleel McLaughlin","DEN","RB","$1","RB48",
"Bucky Irving","TB","RB","$1","RB49",
"Ray Davis","BUF","RB","$1","RB50",
"Khalil Herbert","CHI","RB","$1","RB51",
"Antonio Gibson","NE","RB","$1","RB52",
"Brandon Aubrey","DAL","K","$1","K1",
"San Francisco 49ers","SF","DST","$1","DST3",
"Cleveland Browns","CLE","DST","$1","DST4",
"Samaje Perine","KC","RB","$1","RB53",
"Justin Tucker","BAL","K","$1","K2",
"Harrison Butker","KC","K","$1","K3",
"Ja'Lynn Polk","NE","WR","$1","WR63",
"J.K. Dobbins","LAC","RB","$1","RB54",
"Younghoe Koo","ATL","K","$1","K4",
"Kimani Vidal","LAC","RB","$1","RB55",
"Pittsburgh Steelers","PIT","DST","$1","DST5",
"Jake Moody","SF","K","$1","K5",
"Pat Freiermuth","PIT","TE","$1","TE15",
"Cole Kmet","CHI","TE","$1","TE16",
"Michael Wilson","ARI","WR","$1","WR64",
"Braelon Allen","NYJ","RB","$1","RB56",
"Houston Texans","HOU","DST","$1","DST6",
"Ka'imi Fairbairn","HOU","K","$1","K6",
"Adonai Mitchell","IND","WR","$1","WR65",
"Jake Elliott","PHI","K","$1","K7",
"Las Vegas Raiders","LV","DST","$1","DST7",
"Matt Gay","IND","K","$1","K8",
"Dustin Hopkins","CLE","K","$1","K9",
"Jason Sanders","MIA","K","$1","K10",
"Baltimore Ravens","BAL","DST","$1","DST8",
"Chicago Bears","CHI","DST","$1","DST9",
"Kansas City Chiefs","KC","DST","$1","DST10",
"Tyler Bass","BUF","K","$1","K11",
"Evan McPherson","CIN","K","$1","K12",
"Jaylen Wright","MIA","RB","$1","RB57",
"Tank Bigsby","JAX","RB","$1","RB58",
"Cincinnati Bengals","CIN","DST","$1","DST11",
"Miami Dolphins","MIA","DST","$1","DST12",
"New York Giants","NYG","DST","$1","DST13",
"T.J. Hockenson","MIN","TE","$1","TE17",
"Buffalo Bills","BUF","DST","$1","DST14",
"Adam Thielen","CAR","WR","$1","WR66",
"Luke Musgrave","GB","TE","$1","TE18",
"Josh Downs","IND","WR","$1","WR67",
"Juwan Johnson","NO","TE","$1","TE19",
"Noah Fant","SEA","TE","$1","TE20",
"Rashod Bateman","BAL","WR","$1","WR68",
"Hunter Henry","NE","TE","$1","TE21",
"Demario Douglas","NE","WR","$1","WR69",
"Jalen Tolbert","DAL","WR","$1","WR70",
"Isaiah Likely","BAL","TE","$1","TE22",
"Wan'Dale Robinson","NYG","WR","$1","WR71",
"Xavier Legette","CAR","WR","$1","WR72",
"Tyler Conklin","NYJ","TE","$1","TE23",
"Ben Sinnott","WAS","TE","$1","TE24",
"Cade Otton","TB","TE","$1","TE25",
"Colby Parkinson","LAR","TE","$1","TE26",
"Jordan Mason","SF","RB","$0","RB41",
"Deshaun Watson","CLE","QB","$0","QB19",
"Aaron Rodgers","NYJ","QB","$0","QB20",
"Baker Mayfield","TB","QB","$0","QB21",
"Matthew Stafford","LAR","QB","$0","QB22",
"Joshua Karty","LAR","K","$0","K13",
"Matt Prater","ARI","K","$0","K14",
"Cairo Santos","CHI","K","$0","K15",
"Anders Carlson","GB","K","$0","K16",
"Cameron Dicker","LAC","K","$0","K17",
"Cam Little","JAX","K","$0","K18",
"Will Reichard","MIN","K","$0","K19",
"Indianapolis Colts","IND","DST","$0","DST15",
"Jason Myers","SEA","K","$0","K20",
"Daniel Carlson","LV","K","$0","K21",
"Chase McLaughlin","TB","K","$0","K22",
"Blake Grupe","NO","K","$0","K23",
"New Orleans Saints","NO","DST","$0","DST16",
"Marshawn Lloyd","GB","RB","$0","RB59",
"Green Bay Packers","GB","DST","$0","DST17",
"Greg Zuerlein","NYJ","K","$0","K24",
"Geno Smith","SEA","QB","$0","QB23",
"Sam Darnold","MIN","QB","$0","QB24",
"Los Angeles Chargers","LAC","DST","$0","DST18",
"Chris Boswell","PIT","K","$0","K25",
"Seattle Seahawks","SEA","DST","$0","DST19",
"Philadelphia Eagles","PHI","DST","$0","DST20",
"Cade York","WAS","K","$0","K26",
"Eddy Pineiro","CAR","K","$0","K27",
"Nick Folk","TEN","K","$0","K28",
"Joey Slye","NE","K","$0","K29",
"Tampa Bay Buccaneers","TB","DST","$0","DST21",
"Wil Lutz","DEN","K","$0","K30",
"New England Patriots","NE","DST","$0","DST22",
"Graham Gano","NYG","K","$0","K31",
"Detroit Lions","DET","DST","$0","DST23",
"Jacksonville Jaguars","JAX","DST","$0","DST24",
"Minnesota Vikings","MIN","DST","$0","DST25",
"Atlanta Falcons","ATL","DST","$0","DST26",
"Trey Sermon","IND","RB","$0","RB60",
"Jalen McMillan","TB","WR","$0","WR73",
"Demarcus Robinson","LAR","WR","$0","WR74",
"Jahan Dotson","PHI","WR","$0","WR75",
"Denver Broncos","DEN","DST","$0","DST27",
"Jalin Hyatt","NYG","WR","$0","WR76",
"Derek Carr","NO","QB","$0","QB25",
"Greg Dortch","ARI","WR","$0","WR77",
"Malachi Corley","NYJ","WR","$0","WR78",
"Josh Reynolds","DEN","WR","$0","WR79",
"Jermaine Burton","CIN","WR","$0","WR80",
"Audric Estime","DEN","RB","$0","RB61",
"Noah Brown","WAS","WR","$0","WR81",
"Darius Slayton","NYG","WR","$0","WR82",
"Andrei Iosivas","CIN","WR","$0","WR83",
"Tennessee Titans","TEN","DST","$0","DST28",
"Roschon Johnson","CHI","RB","$0","RB62",
"Washington Commanders","WAS","DST","$0","DST29",
"Chigoziem Okonkwo","TEN","TE","$0","TE27",
"Jonnu Smith","MIA","TE","$0","TE28",
"Dawson Knox","BUF","TE","$0","TE29",
"D.J. Chark","LAC","WR","$0","WR84",
"Luke McCaffrey","WAS","WR","$0","WR85",
"Jalen Nailor","MIN","WR","$0","WR86",
"Michael Mayer","LV","TE","$0","TE30",
"Theo Johnson","NYG","TE","$0","TE31",
"Tre Tucker","LV","WR","$0","WR87",
"Tyrone Tracy","NYG","RB","$0","RB63",
"Will Shipley","PHI","RB","$0","RB64",
"Roman Wilson","PIT","WR","$0","WR88",
"Jamaal Williams","NO","RB","$0","RB65",
"Tyler Boyd","TEN","WR","$0","WR89",
"Will Levis","TEN","QB","$0","QB26",
"Los Angeles Rams","LAR","DST","$0","DST30",
"Quentin Johnston","LAC","WR","$0","WR90",
"Allen Lazard","NYJ","WR","$0","WR91",
"Kalif Raymond","DET","WR","$0","WR92",
"Arizona Cardinals","ARI","DST","$0","DST31",
"Dameon Pierce","HOU","RB","$0","RB66",
"Drake Maye","NE","QB","$0","QB27",
"Carolina Panthers","CAR","DST","$0","DST32",
"Ray-Ray McCloud","ATL","WR","$0","WR93",
"Cedrick Wilson","NO","WR","$0","WR94",
"D'Onta Foreman","CLE","RB","$0","RB67",
"Greg Dulcich","DEN","TE","$0","TE32",
"Mike Gesicki","CIN","TE","$0","TE33",
"Justin Fields","PIT","QB","$0","QB28",
"Tucker Kraft","GB","TE","$0","TE34",
"Keaton Mitchell","BAL","RB","$0","RB68",
"Treylon Burks","TEN","WR","$0","WR95",
"Malik Washington","MIA","WR","$0","WR96",
"Elijah Moore","CLE","WR","$0","WR97",
"Jauan Jennings","SF","WR","$0","WR98",
