"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"1",1,"Josh Allen",BUF,"7","4 out of 5 stars","+1","+2.0","56% (9/16)"
"2",1,"Lamar Jackson",BAL,"7","3 out of 5 stars","-1","+3.6","75% (12/16)"
"3",1,"Jayden Daniels",WAS,"12","2 out of 5 stars","0","+2.0","56% (9/16)"
"4",1,"Jalen Hurts",PHI,"9","3 out of 5 stars","0","0.0","53% (8/15)"
"5",2,"Joe Burrow",CIN,"10","2 out of 5 stars","0","+3.9","68% (11/16)"
"6",2,"Patrick Mahomes II",KC,"10","3 out of 5 stars","0","+0.1","37% (6/16)"
"7",2,"Baker Mayfield",TB,"9","2 out of 5 stars","0","+5.0","81% (13/16)"
"8",2,"Bo Nix",DEN,"12","4 out of 5 stars","0","+2.0","62% (10/16)"
"9",3,"Kyler Murray",ARI,"8","4 out of 5 stars","0","-1.1","50% (8/16)"
"10",3,"Brock Purdy",SF,"14","4 out of 5 stars","+2","+0.6","53% (8/15)"
"11",3,"Justin Fields",NYJ,"9","5 out of 5 stars","-1","+0.9","46% (6/13)"
"12",3,"Caleb Williams",CHI,"5","2 out of 5 stars","+2","-0.3","43% (7/16)"
"13",3,"Dak Prescott",DAL,"10","2 out of 5 stars","0","-1.6","25% (2/8)"
"14",3,"Justin Herbert",LAC,"12","3 out of 5 stars","+1","+0.2","50% (8/16)"
"15",3,"Jared Goff",DET,"8","2 out of 5 stars","-4","+4.0","56% (9/16)"
"16",3,"Drake Maye",NE,"14","5 out of 5 stars","+2","+1.4","58% (7/12)"
"17",4,"Jordan Love",GB,"5","2 out of 5 stars","-1","+0.1","42% (6/14)"
"18",4,"Trevor Lawrence",JAC,"8","3 out of 5 stars","+3","-0.8","40% (4/10)"
"19",4,"C.J. Stroud",HOU,"6","3 out of 5 stars","-2","-3.0","25% (4/16)"
"20",4,"J.J. McCarthy",MIN,"6","2 out of 5 stars","-1","-","-"
"21",4,"Matthew Stafford",LAR,"8","3 out of 5 stars","+1","-1.5","31% (5/16)"
"22",4,"Tua Tagovailoa",MIA,"12","5 out of 5 stars","-2","+1.0","54% (6/11)"
"23",4,"Bryce Young",CAR,"14","3 out of 5 stars","+3","+1.5","50% (6/12)"
"24",4,"Michael Penix Jr.",ATL,"5","4 out of 5 stars","-1","-0.9","18% (2/11)"
"25",4,"Geno Smith",LV,"8","3 out of 5 stars","+3","-0.8","43% (7/16)"
"26",5,"Sam Darnold",SEA,"8","4 out of 5 stars","+3","+2.4","75% (12/16)"
"27",5,"Cameron Ward",TEN,"10","2 out of 5 stars","-3","-","-"
"28",5,"Aaron Rodgers",PIT,"5","4 out of 5 stars","-1","-0.3","50% (8/16)"
"29",5,"Anthony Richardson Sr.",IND,"11","3 out of 5 stars","-4","-1.4","30% (4/13)"
"30",5,"Russell Wilson",NYG,"14","1 out of 5 stars","+1","+1.4","50% (5/10)"
"31",5,"Daniel Jones",IND,"11","3 out of 5 stars","+5","-1.8","40% (4/10)"
"32",5,"Tyler Shough",NO,"11","5 out of 5 stars","+2","-","-"
"33",5,"Joe Flacco",CLE,"9","2 out of 5 stars","+4","-","-"
"34",5,"Jaxson Dart",NYG,"14","1 out of 5 stars","-2","-","-"
"35",5,"Tyrod Taylor",NYJ,"9","5 out of 5 stars","+54","-","-"
"36",5,"Shedeur Sanders",CLE,"9","2 out of 5 stars","-6","-","-"
"37",6,"Jalen Milroe",SEA,"8","4 out of 5 stars","-4","-","-"
"38",6,"Kirk Cousins",ATL,"5","4 out of 5 stars","-3","-1.8","18% (3/16)"
