"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"1",1,"Saquon Barkley",PHI,"9","3 out of 5 stars","0","+3.8","50% (8/16)"
"2",1,"Bijan Robinson",ATL,"5","4 out of 5 stars","0","+0.7","56% (9/16)"
"3",1,"Jahmyr Gibbs",DET,"8","2 out of 5 stars","0","+2.9","68% (11/16)"
"4",1,"Derrick Henry",BAL,"7","4 out of 5 stars","0","+2.8","56% (9/16)"
"5",2,"Ashton Jeanty",LV,"8","2 out of 5 stars","0","-","-"
"6",2,"Christian McCaffrey",SF,"14","3 out of 5 stars","0","-8.2","0% (0/4)"
"7",2,"Jonathan Taylor",IND,"11","2 out of 5 stars","+4","+1.3","46% (6/13)"
"8",2,"De'Von Achane",MIA,"12","4 out of 5 stars","-1","-0.2","50% (8/16)"
"9",2,"Josh Jacobs",GB,"5","4 out of 5 stars","-1","+1.9","50% (8/16)"
"10",3,"Bucky Irving",TB,"9","3 out of 5 stars","-1","+2.8","75% (12/16)"
"11",3,"Kyren Williams",LAR,"8","3 out of 5 stars","-1","-0.1","43% (7/16)"
"12",3,"Chase Brown",CIN,"10","4 out of 5 stars","0","+2.3","62% (10/16)"
"13",3,"James Cook",BUF,"7","4 out of 5 stars","+1","+2.1","60% (9/15)"
"14",3,"Breece Hall",NYJ,"9","5 out of 5 stars","-1","-2.6","26% (4/15)"
"15",3,"Kenneth Walker III",SEA,"8","3 out of 5 stars","+1","+0.2","36% (4/11)"
"16",3,"Chuba Hubbard",CAR,"14","3 out of 5 stars","+3","+2.1","53% (8/15)"
"17",3,"James Conner",ARI,"8","3 out of 5 stars","+3","+0.4","62% (10/16)"
"18",3,"Omarion Hampton",LAC,"12","2 out of 5 stars","-1","-","-"
"19",4,"Alvin Kamara",NO,"11","4 out of 5 stars","-4","-0.1","35% (5/14)"
"20",4,"Joe Mixon",HOU,"6","2 out of 5 stars","-2","+0.4","46% (6/13)"
"21",4,"David Montgomery",DET,"8","2 out of 5 stars","+1","+1.9","71% (10/14)"
"22",4,"D'Andre Swift",CHI,"5","3 out of 5 stars","+1","-1.3","31% (5/16)"
"23",4,"TreVeyon Henderson",NE,"14","4 out of 5 stars","+2","-","-"
"24",4,"RJ Harvey",DEN,"12","2 out of 5 stars","0","-","-"
"25",4,"Kaleb Johnson",PIT,"5","4 out of 5 stars","+3","-","-"
"26",4,"Aaron Jones Sr.",MIN,"6","3 out of 5 stars","-5","-0.7","43% (7/16)"
"27",4,"Isiah Pacheco",KC,"10","2 out of 5 stars","0","-3.7","14% (1/7)"
"28",4,"Tony Pollard",TEN,"10","2 out of 5 stars","-2","-1.5","40% (6/15)"
"29",4,"Brian Robinson Jr.",WAS,"12","2 out of 5 stars","+1","-0.6","53% (7/13)"
"30",5,"Tyrone Tracy Jr.",NYG,"14","3 out of 5 stars","+1","+0.1","50% (8/16)"
"31",5,"Travis Etienne Jr.",JAC,"8","2 out of 5 stars","+7","-3.6","14% (2/14)"
"32",5,"Quinshon Judkins",CLE,"9","4 out of 5 stars","-3","-","-"
"33",5,"Najee Harris",LAC,"12","2 out of 5 stars","0","-1.1","37% (6/16)"
"34",5,"Jordan Mason",MIN,"6","3 out of 5 stars","+7","-1.6","33% (4/12)"
"35",5,"Jaylen Warren",PIT,"5","4 out of 5 stars","-3","-1.0","35% (5/14)"
"36",5,"Javonte Williams",DAL,"10","2 out of 5 stars","0","-2.1","25% (4/16)"
"37",5,"Rhamondre Stevenson",NE,"14","4 out of 5 stars","0","-1.1","40% (6/15)"
"38",5,"Cam Skattebo",NYG,"14","3 out of 5 stars","-4","-","-"
