"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"1",1,"George Kittle",SF,"14","3 out of 5 stars","+2","+2.9","78% (11/14)"
"2",1,"Brock Bowers",LV,"8","2 out of 5 stars","-1","+1.4","56% (9/16)"
"3",1,"Trey McBride",ARI,"8","5 out of 5 stars","-1","+1.3","53% (8/15)"
"4",1,"Sam LaPorta",DET,"8","3 out of 5 stars","0","+0.3","46% (7/15)"
"5",2,"Mark Andrews",BAL,"7","3 out of 5 stars","+2","+1.8","62% (10/16)"
"6",2,"T.J. Hockenson",MIN,"6","3 out of 5 stars","0","-1.3","33% (3/9)"
"7",2,"Travis Kelce",KC,"10","3 out of 5 stars","-2","-1.9","37% (6/16)"
"8",2,"Tucker Kraft",GB,"5","2 out of 5 stars","+5","+1.6","56% (9/16)"
"9",2,"David Njoku",CLE,"9","3 out of 5 stars","0","+1.9","54% (6/11)"
"10",3,"Evan Engram",DEN,"12","3 out of 5 stars","0","-1.8","22% (2/9)"
"11",3,"Dalton Kincaid",BUF,"7","3 out of 5 stars","+4","-2.4","23% (3/13)"
"12",3,"Tyler Warren",IND,"11","3 out of 5 stars","0","-","-"
"13",3,"Dallas Goedert",PHI,"9","3 out of 5 stars","+1","-0.1","44% (4/9)"
"14",3,"Kyle Pitts",ATL,"5","3 out of 5 stars","+4","-1.1","37% (6/16)"
"15",3,"Jonnu Smith",PIT,"5","3 out of 5 stars","-7","+3.5","62% (10/16)"
"16",3,"Jake Ferguson",DAL,"10","2 out of 5 stars","0","-2.6","30% (4/13)"
"17",3,"Colston Loveland",CHI,"5","4 out of 5 stars","-6","-","-"
"18",4,"Isaiah Likely",BAL,"7","3 out of 5 stars","+1","+0.7","46% (7/15)"
"19",4,"Hunter Henry",NE,"14","3 out of 5 stars","+1","-0.6","43% (7/16)"
"20",4,"Zach Ertz",WAS,"12","3 out of 5 stars","-3","+1.4","56% (9/16)"
"21",4,"Mike Gesicki",CIN,"10","2 out of 5 stars","+5","+0.3","37% (6/16)"
"22",4,"Pat Freiermuth",PIT,"5","3 out of 5 stars","+1","+0.9","50% (8/16)"
"23",4,"Cade Otton",TB,"9","3 out of 5 stars","+4","+0.3","50% (7/14)"
"24",4,"Brenton Strange",JAC,"8","3 out of 5 stars","-2","-","-"
"25",4,"Mason Taylor",NYJ,"9","3 out of 5 stars","0","-","-"
"26",4,"Chig Okonkwo",TEN,"10","3 out of 5 stars","+2","+0.7","43% (7/16)"
"27",4,"Dalton Schultz",HOU,"6","3 out of 5 stars","+2","-1.1","31% (5/16)"
"28",5,"Elijah Arroyo",SEA,"8","4 out of 5 stars","+6","-","-"
"29",5,"Juwan Johnson",NO,"11","3 out of 5 stars","+1","-0.1","50% (8/16)"
"30",5,"Ja'Tavion Sanders",CAR,"14","4 out of 5 stars","+1","-0.2","46% (7/15)"
"31",5,"Cole Kmet",CHI,"5","4 out of 5 stars","+5","+0.2","37% (6/16)"
"32",5,"Noah Gray",KC,"10","3 out of 5 stars","+5","+2.1","68% (11/16)"
"33",5,"Harold Fannin Jr.",CLE,"9","3 out of 5 stars","+6","-","-"
"34",5,"Taysom Hill",NO,"11","3 out of 5 stars","-10","+4.6","50% (4/8)"
"35",5,"Noah Fant",FA,"-","-","+5","-0.4","38% (5/13)"
"36",6,"Terrance Ferguson",LAR,"8","4 out of 5 stars","-3","-","-"
"37",6,"Theo Johnson",NYG,"14","2 out of 5 stars","-5","0.0","41% (5/12)"
"38",6,"Oronde Gadsden II",LAC,"12","3 out of 5 stars","+3","-","-"
"39",6,"Ben Sinnott",WAS,"12","3 out of 5 stars","+3","-0.4","21% (3/14)"
"40",6,"Darren Waller",MIA,"12","3 out of 5 stars","-19","-","-"
"41",6,"Will Dissly",LAC,"12","3 out of 5 stars","-","-0.1","42% (6/14)"
"42",6,"Tyler Higbee",LAR,"8","4 out of 5 stars","-4","-","-"
"43",6,"Tyler Conklin",LAC,"12","3 out of 5 stars","-8","-","-"
"44",6,"Dawson Knox",BUF,"7","3 out of 5 stars","-","-","-"
"45",6,"Luke Musgrave",GB,"5","2 out of 5 stars","-","-","-"
