"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"1",1,"Ja'Marr Chase",CIN,"10","3 out of 5 stars","0","+4.1","56% (9/16)"
"2",1,"Justin Jefferson",MIN,"6","2 out of 5 stars","0","+0.7","50% (8/16)"
"3",1,"CeeDee Lamb",DAL,"10","2 out of 5 stars","0","-0.4","46% (7/15)"
"4",1,"Puka Nacua",LAR,"8","3 out of 5 stars","+1","+1.4","54% (6/11)"
"5",2,"Nico Collins",HOU,"6","4 out of 5 stars","+3","+0.9","63% (7/11)"
"6",2,"Malik Nabers",NYG,"14","2 out of 5 stars","-2","+1.8","42% (6/14)"
"7",2,"Brian Thomas Jr.",JAC,"8","4 out of 5 stars","0","+3.7","75% (12/16)"
"8",2,"Amon-Ra St. Brown",DET,"8","3 out of 5 stars","-2","+1.0","62% (10/16)"
"9",2,"A.J. Brown",PHI,"9","3 out of 5 stars","+1","+0.8","53% (7/13)"
"10",2,"Drake London",ATL,"5","3 out of 5 stars","-1","-0.3","56% (9/16)"
"11",3,"Ladd McConkey",LAC,"12","3 out of 5 stars","0","+2.0","53% (8/15)"
"12",3,"Tee Higgins",CIN,"10","3 out of 5 stars","+1","+4.0","63% (7/11)"
"13",3,"Mike Evans",TB,"9","3 out of 5 stars","+6","+1.5","46% (6/13)"
"14",3,"Tyreek Hill",MIA,"12","3 out of 5 stars","-2","-2.1","31% (5/16)"
"15",3,"Davante Adams",LAR,"8","3 out of 5 stars","+1","+1.3","46% (6/13)"
"16",3,"Jaxon Smith-Njigba",SEA,"8","3 out of 5 stars","-2","+1.6","50% (8/16)"
"17",3,"Terry McLaurin",WAS,"12","3 out of 5 stars","-2","+1.8","75% (12/16)"
"18",3,"Garrett Wilson",NYJ,"9","4 out of 5 stars","0","+0.1","43% (7/16)"
"19",3,"Marvin Harrison Jr.",ARI,"8","4 out of 5 stars","-2","-1.6","37% (6/16)"
"20",4,"DK Metcalf",PIT,"5","4 out of 5 stars","+1","-1.7","28% (4/14)"
"21",4,"Jameson Williams",DET,"8","3 out of 5 stars","+7","+2.6","60% (9/15)"
"22",4,"Courtland Sutton",DEN,"12","3 out of 5 stars","+2","+1.1","62% (10/16)"
"23",4,"DJ Moore",CHI,"5","2 out of 5 stars","-1","-0.2","31% (5/16)"
"24",4,"Zay Flowers",BAL,"7","3 out of 5 stars","+1","-1.4","37% (6/16)"
"25",4,"Xavier Worthy",KC,"10","3 out of 5 stars","+1","+0.7","50% (8/16)"
"26",4,"DeVonta Smith",PHI,"9","3 out of 5 stars","-3","+1.7","53% (7/13)"
"27",4,"Rashee Rice",KC,"10","3 out of 5 stars","-7","-0.7","75% (3/4)"
"28",4,"Calvin Ridley",TEN,"10","4 out of 5 stars","+2","-0.4","37% (6/16)"
"29",4,"George Pickens",DAL,"10","2 out of 5 stars","0","-1.2","30% (4/13)"
"30",4,"Tetairoa McMillan",CAR,"14","4 out of 5 stars","-3","-","-"
"31",5,"Jaylen Waddle",MIA,"12","3 out of 5 stars","+7","-1.3","21% (3/14)"
"32",5,"Travis Hunter",JAC,"8","4 out of 5 stars","0","-","-"
"33",5,"Jordan Addison",MIN,"6","2 out of 5 stars","+1","+3.5","50% (7/14)"
"34",5,"Chris Olave",NO,"11","4 out of 5 stars","+2","-3.5","30% (3/10)"
"35",5,"Rome Odunze",CHI,"5","2 out of 5 stars","+2","-0.9","25% (4/16)"
"36",5,"Jerry Jeudy",CLE,"9","2 out of 5 stars","-3","+2.5","68% (11/16)"
"37",5,"Chris Godwin",TB,"9","3 out of 5 stars","-6","+3.5","57% (4/7)"
"38",5,"Jayden Reed",GB,"5","2 out of 5 stars","+4","-0.3","37% (6/16)"
"39",5,"Jauan Jennings",SF,"14","4 out of 5 stars","+4","+2.4","42% (6/14)"
"40",5,"Deebo Samuel Sr.",WAS,"12","3 out of 5 stars","-5","-3.9","20% (3/15)"
"41",5,"Jakobi Meyers",LV,"8","4 out of 5 stars","-2","+1.1","50% (7/14)"
"42",5,"Ricky Pearsall",SF,"14","4 out of 5 stars","+6","+1.0","40% (4/10)"
"43",5,"Khalil Shakir",BUF,"7","3 out of 5 stars","+2","-0.2","53% (8/15)"
"44",6,"Stefon Diggs",NE,"14","3 out of 5 stars","-4","+0.2","50% (4/8)"
"45",6,"Josh Downs",IND,"11","4 out of 5 stars","+6","+1.2","46% (6/13)"
"46",6,"Brandon Aiyuk",SF,"14","4 out of 5 stars","-2","-4.9","14% (1/7)"
"47",6,"Darnell Mooney",ATL,"5","3 out of 5 stars","+2","+0.6","50% (8/16)"
