Player,Team,Position,Value,Position Rank
Saquon Barkley,PHI,RB,92.0,RB1
Ja'Marr Chase,CIN,WR,79.0,WR1
Bijan Robinson,ATL,RB,86.0,RB2
Jahmyr Gibbs,DET,RB,83.0,RB3
Justin Jefferson,MIN,WR,71.0,WR2
CeeDee Lamb,DAL,WR,68.0,WR3
Christian McCaffrey,SF,RB,76.0,RB4
Ashton Jeanty,LV,RB,75.0,RB5
Amon-Ra St. Brown,DET,WR,53.0,WR4
Malik Nabers,NYG,WR,53.0,WR5
Puka Nacua,LA,WR,51.0,WR6
Derrick Henry,BAL,RB,83.0,RB6
Nico Collins,HOU,WR,55.0,WR7
Brian Thomas Jr.,JAX,WR,49.0,WR8
De'Von Achane,MIA,RB,49.0,RB7
Brock Bowers,LV,TE,33.0,TE1
A.J. Brown,PHI,WR,43.0,WR9
Bucky Irving,TB,RB,50.0,RB8
Drake London,ATL,WR,38.0,WR10
Josh Jacobs,GB,RB,50.0,RB9
Ladd McConkey,LAC,WR,32.0,WR11
Jonathan Taylor,IND,RB,50.0,RB10
Chase Brown,CIN,RB,42.0,RB11
Tyreek Hill,MIA,WR,31.0,WR12
Trey McBride,ARI,TE,18.0,TE2
Tee Higgins,CIN,WR,27.0,WR13
Kyren Williams,LA,RB,37.0,RB12
Breece Hall,NYJ,RB,34.0,RB13
Josh Allen,BUF,QB,28.0,QB1
Omarion Hampton,LAC,RB,34.0,RB14
Lamar Jackson,BAL,QB,27.0,QB2
James Cook,BUF,RB,37.0,RB15
George Kittle,SF,TE,24.0,TE3
Jayden Daniels,WAS,QB,24.0,QB3
Mike Evans,TB,WR,20.0,WR14
Xavier Worthy,KC,WR,18.0,WR15
Jaxon Smith-Njigba,SEA,WR,13.0,WR16
Davante Adams,LA,WR,16.0,WR17
Marvin Harrison Jr.,ARI,WR,18.0,WR18
Terry McLaurin,WAS,WR,17.0,WR19
Kenneth Walker III,SEA,RB,23.0,RB16
Garrett Wilson,NYJ,WR,12.0,WR20
DJ Moore,CHI,WR,11.0,WR21
Chuba Hubbard,CAR,RB,23.0,RB17
Jalen Hurts,PHI,QB,15.0,QB4
Tet McMillan,CAR,WR,12.0,WR22
Jameson Williams,DET,WR,17.0,WR23
Courtland Sutton,DEN,WR,14.0,WR24
George Pickens,DAL,WR,16.0,WR25
Zay Flowers,BAL,WR,12.0,WR26
Devonta Smith,PHI,WR,10.0,WR27
DK Metcalf,PIT,WR,13.0,WR28
Alvin Kamara,NO,RB,8.0,RB18
Jaylen Waddle,MIA,WR,8.0,WR29
James Conner,ARI,RB,17.0,RB19
Calvin Ridley,TEN,WR,11.0,WR30
TreVeyon Henderson,NE,RB,15.0,RB20
Rashee Rice,KC,WR,2.0,WR31
RJ Harvey,DEN,RB,13.0,RB21
Travis Hunter,JAX,WR,6.0,WR32
David Montgomery,DET,RB,15.0,RB22
Sam LaPorta,DET,TE,2.0,TE4
Chris Olave,NO,WR,1.0,WR33
Rome Odunze,CHI,WR,1.0,WR34
Joe Burrow,CIN,QB,3.0,QB5
Jerry Jeudy,CLE,WR,1.0,WR35
Aaron Jones,MIN,RB,4.0,RB23
D'Andre Swift,CHI,RB,5.0,RB24
Jakobi Meyers,LV,WR,1.0,WR36
Kaleb Johnson,PIT,RB,9.0,RB25
Jauan Jennings,SF,WR,1.0,WR37
Deebo Samuel,WAS,WR,1.0,WR38
Tony Pollard,TEN,RB,1.0,RB26
Jordan Addison,MIN,WR,1.0,WR39
Stefon Diggs,NE,WR,1.0,WR40
Khalil Shakir,BUF,WR,0.0,WR41
Isiah Pacheco,KC,RB,1.0,RB27
Jayden Reed,GB,WR,0.0,WR42
T.J. Hockenson,MIN,TE,1.0,TE5
Ricky Pearsall,SF,WR,0.0,WR43
Chris Godwin,TB,WR,1.0,WR44
Patrick Mahomes,KC,QB,1.0,QB6
Travis Kelce,KC,TE,1.0,TE6
Brandon Aubrey,DAL,K,2.0,K1
DEN DST,DEN,DST,2.0,DST1
Matthew Golden,GB,WR,1.0,WR45
Kyler Murray,ARI,QB,1.0,QB7
Jaylen Warren,PIT,RB,1.0,RB28
Josh Downs,IND,WR,0.0,WR46
Chad Ryland,ARI,K,1.0,K2
Younghoe Koo,ATL,K,1.0,K3
Tyler Loop,BAL,K,0.0,K4
Tyler Bass,BUF,K,0.0,K5
Matthew Wright,CAR,K,0.0,K6
Cairo Santos,CHI,K,0.0,K7
Evan McPherson,CIN,K,0.0,K8
Dustin Hopkins,CLE,K,0.0,K9
Wil Lutz,DEN,K,0.0,K10
Jake Bates,DET,K,1.0,K11
Brandon McManus,GB,K,1.0,K12
Ka'imi Fairbairn,HOU,K,1.0,K13
Spencer Shrader,IND,K,0.0,K14
Cam Little,JAX,K,0.0,K15
Harrison Butker,KC,K,0.0,K16
Cameron Dicker,LAC,K,1.0,K17
Joshua Karty,LA,K,0.0,K18
Daniel Carlson,LV,K,0.0,K19
Jason Sanders,MIA,K,0.0,K20
Will Reichard,MIN,K,1.0,K21
John Parker Romo,NE,K,0.0,K22
Blake Grupe,NO,K,0.0,K23
Graham Gano,NYG,K,0.0,K24
Harrison Mevis,NYJ,K,0.0,K25
Jake Elliott,PHI,K,1.0,K26
Chris Boswell,PIT,K,1.0,K27
Jason Myers,SEA,K,0.0,K28
Jake Moody,SF,K,0.0,K29
Chase McLaughlin,TB,K,1.0,K30
Joey Slye,TEN,K,0.0,K31
Matt Gay,WAS,K,1.0,K32
ARI DST,ARI,DST,0.0,DST2
ATL DST,ATL,DST,0.0,DST3
BAL DST,BAL,DST,1.0,DST4
BUF DST,BUF,DST,1.0,DST5
CAR DST,CAR,DST,0.0,DST6
CHI DST,CHI,DST,0.0,DST7
CIN DST,CIN,DST,0.0,DST8
CLE DST,CLE,DST,1.0,DST9
DAL DST,DAL,DST,1.0,DST10
DET DST,DET,DST,0.0,DST11
GB DST,GB,DST,0.0,DST12
HOU DST,HOU,DST,1.0,DST13
IND DST,IND,DST,0.0,DST14
JAX DST,JAX,DST,0.0,DST15
KC DST,KC,DST,1.0,DST16
LAC DST,LAC,DST,0.0,DST17
LA DST,LA,DST,0.0,DST18
LV DST,LV,DST,0.0,DST19
MIA DST,MIA,DST,0.0,DST20
MIN DST,MIN,DST,1.0,DST21
NE DST,NE,DST,0.0,DST22
NO DST,NO,DST,0.0,DST23
NYG DST,NYG,DST,1.0,DST24
NYJ DST,NYJ,DST,0.0,DST25
PHI DST,PHI,DST,1.0,DST26
PIT DST,PIT,DST,1.0,DST27
SEA DST,SEA,DST,0.0,DST28
SF DST,SF,DST,1.0,DST29
TB DST,TB,DST,0.0,DST30
TEN DST,TEN,DST,0.0,DST31
WAS DST,WAS,DST,0.0,DST32
Baker Mayfield,TB,QB,1.0,QB8
Emeka Egbuka,TB,WR,0.0,WR47
Bo Nix,DEN,QB,1.0,QB9
Mark Andrews,BAL,TE,1.0,TE7
Cooper Kupp,SEA,WR,1.0,WR48
Brian Robinson,WAS,RB,1.0,RB29
David Njoku,CLE,TE,1.0,TE8
Evan Engram,DEN,TE,1.0,TE9
Tyrone Tracy Jr.,NYG,RB,1.0,RB30
Javonte Williams,DAL,RB,1.0,RB31
Brock Purdy,SF,QB,1.0,QB10
Justin Fields,NYJ,QB,1.0,QB11
Travis Etienne,JAX,RB,1.0,RB32
J.K. Dobbins,DEN,RB,0.0,RB33
Jared Goff,DET,QB,0.0,QB12
Jordan Mason,MIN,RB,0.0,RB34
Dak Prescott,DAL,QB,0.0,QB13
Justin Herbert,LAC,QB,0.0,QB14
