"RK","TIERS","PLAYER NAME","TEAM","POS","BYE WEEK","SOS SEASON","ECR VS. ADP","OVERALL RK","OVERALL TIER"
"1","1","Josh Allen","BUF","QB1","7","3 out of 5 stars","-3","26","4"
"2","1","Lamar Jackson","BAL","QB2","13","3 out of 5 stars","+10","31","4"
"3","2","Drake Maye","NE","QB3","11","2 out of 5 stars","+15","38","5"
"4","2","Joe Burrow","CIN","QB4","6","3 out of 5 stars","+9","46","5"
"5","2","Jayden Daniels","WAS","QB5","7","2 out of 5 stars","+12","50","5"
"6","3","Jalen Hurts","PHI","QB6","10","5 out of 5 stars","+6","57","6"
"7","3","Caleb Williams","CHI","QB7","10","3 out of 5 stars","+12","64","6"
"8","3","Justin Herbert","LAC","QB8","7","2 out of 5 stars","+17","69","6"
"9","4","Dak Prescott","DAL","QB9","14","2 out of 5 stars","0","74","7"
"10","4","Trevor Lawrence","JAC","QB10","7","4 out of 5 stars","+7","77","7"
"11","4","Brock Purdy","SF","QB11","8","1 out of 5 stars","+20","90","7"
"12","4","Jaxson Dart","NYG","QB12","8","4 out of 5 stars","-3","94","7"
"13","5","Patrick Mahomes II","KC","QB13","5","2 out of 5 stars","+1","100","8"
"14","5","Bo Nix","DEN","QB14","10","3 out of 5 stars","+5","102","8"
"15","5","Matthew Stafford","LAR","QB15","11","3 out of 5 stars","-15","104","8"
"16","5","Jared Goff","DET","QB16","6","5 out of 5 stars","+16","107","8"
"17","5","Kyler Murray","MIN","QB17","6","5 out of 5 stars","+25","113","8"
"18","5","Baker Mayfield","TB","QB18","10","2 out of 5 stars","+16","119","8"
"19","5","Jordan Love","GB","QB19","11","4 out of 5 stars","+26","120","8"
"20","5","Tyler Shough","NO","QB20","8","3 out of 5 stars","+23","125","8"
"21","5","Malik Willis","MIA","QB21","6","3 out of 5 stars","+37","130","8"
"22","6","Sam Darnold","SEA","QB22","11","4 out of 5 stars","+48","137","9"
"23","6","C.J. Stroud","HOU","QB23","8","4 out of 5 stars","+41","139","9"
"24","6","Daniel Jones","IND","QB24","13","4 out of 5 stars","+34","142","9"
"25","6","Cam Ward","TEN","QB25","9","3 out of 5 stars","+61","147","9"
"26","6","Bryce Young","CAR","QB26","5","2 out of 5 stars","+54","161","9"
"27","7","Jacoby Brissett","ARI","QB27","14","2 out of 5 stars","+78","174","10"
"28","8","Geno Smith","NYJ","QB28","13","4 out of 5 stars","+170","209","11"
"29","8","Aaron Rodgers","PIT","QB29","9","2 out of 5 stars","+7","213","11"
"30","8","Fernando Mendoza","LV","QB30","13","1 out of 5 stars","-38","249","11"
"31","9","Tua Tagovailoa","ATL","QB31","11","4 out of 5 stars","+31","259","12"
"32","9","Michael Penix Jr.","ATL","QB32","11","4 out of 5 stars","+10","278","12"
"33","9","Kirk Cousins","LV","QB33","13","1 out of 5 stars","+18","281","12"
"34","9","Deshaun Watson","CLE","QB34","11","4 out of 5 stars","+103","285","12"
"35","9","Shedeur Sanders","CLE","QB35","11","4 out of 5 stars","-30","286","12"
"36","10","J.J. McCarthy","MIN","QB36","6","5 out of 5 stars","-71","329","13"
"37","10","Carson Beck","ARI","QB37","14","2 out of 5 stars","-24","331","13"
"38","10","Mac Jones","SF","QB38","8","1 out of 5 stars","-17","347","13"
"39","11","Justin Fields","KC","QB39","5","2 out of 5 stars","-46","362","14"
"40","11","Ty Simpson","LAR","QB40","11","3 out of 5 stars","-90","364","14"
"41","11","Anthony Richardson Sr.","IND","QB41","13","4 out of 5 stars","+42","376","14"
"42","11","Joe Flacco","CIN","QB42","6","3 out of 5 stars","-56","381","14"
"43","11","Jameis Winston","NYG","QB43","8","4 out of 5 stars","-90","402","14"
"44","11","Marcus Mariota","WAS","QB44","7","2 out of 5 stars","+46","404","14"
"45","11","Cade Klubnik","NYJ","QB45","13","4 out of 5 stars","-64","417","14"
"46","11","Joe Milton III","DAL","QB46","14","2 out of 5 stars","-35","421","14"
"47","12","Riley Leonard","IND","QB47","13","4 out of 5 stars","+156","438","15"
"48","12","Quinn Ewers","MIA","QB48","6","3 out of 5 stars","-84","462","15"
"49","12","Drew Allar","PIT","QB49","9","2 out of 5 stars","-174","485","15"
"50","12","Jake Browning","TB","QB50","10","2 out of 5 stars","-68","492","15"
"51","13","Tyrod Taylor","GB","QB51","11","4 out of 5 stars","-108","497","16"
"52","13","Mason Rudolph","PIT","QB52","9","2 out of 5 stars","-18","500","16"
"53","13","Gardner Minshew II","ARI","QB53","14","2 out of 5 stars","+51","501","16"
"54","13","Trey Lance","LAC","QB54","7","2 out of 5 stars","-67","520","16"
