"RK","TIERS","PLAYER NAME","TEAM","POS","BYE WEEK","SOS SEASON","ECR VS. ADP","OVERALL RK","OVERALL TIER"
"1","1","Jahmyr Gibbs","DET","RB1","6","5 out of 5 stars","-1","2","1"
"2","1","Bijan Robinson","ATL","RB2","11","2 out of 5 stars","-2","4","1"
"3","2","Christian McCaffrey","SF","RB3","8","2 out of 5 stars","-4","9","2"
"4","2","Jonathan Taylor","IND","RB4","13","4 out of 5 stars","-3","10","2"
"5","3","James Cook III","BUF","RB5","7","2 out of 5 stars","-5","14","3"
"6","3","Chase Brown","CIN","RB6","6","2 out of 5 stars","-1","16","3"
"7","3","De'Von Achane","MIA","RB7","6","3 out of 5 stars","-9","19","3"
"8","4","Saquon Barkley","PHI","RB8","10","4 out of 5 stars","-9","23","4"
"9","4","Omarion Hampton","LAC","RB9","7","3 out of 5 stars","-7","25","4"
"10","4","Kenneth Walker III","KC","RB10","5","3 out of 5 stars","-10","27","4"
"11","4","Ashton Jeanty","LV","RB11","13","2 out of 5 stars","-15","28","4"
"12","5","Derrick Henry","BAL","RB12","13","3 out of 5 stars","-20","36","5"
"13","5","Breece Hall","NYJ","RB13","13","3 out of 5 stars","-6","39","5"
"14","5","Jeremiyah Love","ARI","RB14","14","2 out of 5 stars","-13","41","5"
"15","5","Kyren Williams","LAR","RB15","11","5 out of 5 stars","-12","42","5"
"16","5","Javonte Williams","DAL","RB16","14","4 out of 5 stars","-12","43","5"
"17","5","Josh Jacobs","GB","RB17","11","4 out of 5 stars","-12","44","5"
"18","5","Travis Etienne Jr.","NO","RB18","8","3 out of 5 stars","-10","48","5"
"19","6","D'Andre Swift","CHI","RB19","10","2 out of 5 stars","-8","55","6"
"20","6","Cam Skattebo","NYG","RB20","8","4 out of 5 stars","-20","56","6"
"21","6","Bucky Irving","TB","RB21","10","2 out of 5 stars","-15","60","6"
"22","6","David Montgomery","HOU","RB22","8","4 out of 5 stars","-11","61","6"
"23","6","Quinshon Judkins","CLE","RB23","11","3 out of 5 stars","-16","62","6"
"24","6","Bhayshul Tuten","JAC","RB24","7","4 out of 5 stars","-8","66","6"
"25","6","TreVeyon Henderson","NE","RB25","11","2 out of 5 stars","-11","68","6"
"26","6","Jadarian Price","SEA","RB26","11","4 out of 5 stars","-10","70","6"
"27","7","Jaylen Warren","PIT","RB27","9","2 out of 5 stars","-3","72","7"
"28","7","Rhamondre Stevenson","NE","RB28","11","2 out of 5 stars","-1","76","7"
"29","7","Tony Pollard","TEN","RB29","9","3 out of 5 stars","-2","83","7"
"30","7","Rico Dowdle","PIT","RB30","9","2 out of 5 stars","-9","88","7"
"31","7","Jonathon Brooks","CAR","RB31","5","1 out of 5 stars","-7","89","7"
"32","7","RJ Harvey","DEN","RB32","10","2 out of 5 stars","-8","91","7"
"33","7","Chuba Hubbard","CAR","RB33","5","1 out of 5 stars","-8","96","7"
"34","7","J.K. Dobbins","DEN","RB34","10","2 out of 5 stars","-11","98","7"
"35","8","Kenny Gainwell","TB","RB35","10","2 out of 5 stars","0","99","8"
"36","8","Rachaad White","WAS","RB36","7","4 out of 5 stars","+9","109","8"
"37","8","Blake Corum","LAR","RB37","11","5 out of 5 stars","-8","110","8"
"38","8","Aaron Jones Sr.","MIN","RB38","6","4 out of 5 stars","+8","112","8"
"39","8","Jacory Croskey-Merritt","WAS","RB39","7","4 out of 5 stars","-5","114","8"
"40","8","Kyle Monangai","CHI","RB40","10","2 out of 5 stars","-15","115","8"
"41","8","Jordan Mason","MIN","RB41","6","4 out of 5 stars","-13","117","8"
"42","9","Woody Marks","HOU","RB42","8","4 out of 5 stars","+3","133","9"
"43","9","Tyjae Spears","TEN","RB43","9","3 out of 5 stars","+10","134","9"
"44","9","Tyler Allgeier","ARI","RB44","14","2 out of 5 stars","+8","135","9"
"45","9","Chris Rodriguez Jr.","JAC","RB45","7","4 out of 5 stars","+3","138","9"
"46","9","Dylan Sampson","CLE","RB46","11","3 out of 5 stars","+55","141","9"
"47","9","Keaton Mitchell","LAC","RB47","7","3 out of 5 stars","+12","145","9"
"48","9","Tyrone Tracy Jr.","NYG","RB48","8","4 out of 5 stars","+1","146","9"
"49","9","Zach Charbonnet","SEA","RB49","11","4 out of 5 stars","-11","148","9"
"50","9","Alvin Kamara","NO","RB50","8","3 out of 5 stars","+1","149","9"
"51","9","Jonah Coleman","DEN","RB51","10","2 out of 5 stars","+16","152","9"
"52","9","Isiah Pacheco","DET","RB52","6","5 out of 5 stars","+1","153","9"
"53","9","Tank Bigsby","PHI","RB53","10","4 out of 5 stars","+8","162","9"
"54","10","Braelon Allen","NYJ","RB54","13","3 out of 5 stars","+37","164","10"
"55","10","Mike Washington Jr.","LV","RB55","13","2 out of 5 stars","-10","165","10"
"56","10","Brian Robinson Jr.","ATL","RB56","11","2 out of 5 stars","-5","167","10"
"57","10","MarShawn Lloyd","GB","RB57","11","4 out of 5 stars","+18","173","10"
"58","10","Emmett Johnson","KC","RB58","5","3 out of 5 stars","+54","182","10"
"59","10","Sean Tucker","TB","RB59","10","2 out of 5 stars","+59","189","10"
"60","10","Kimani Vidal","LAC","RB60","7","3 out of 5 stars","+56","191","10"
"61","10","Ray Davis","BUF","RB61","7","2 out of 5 stars","+43","197","10"
"62","10","Nicholas Singleton","TEN","RB62","9","3 out of 5 stars","+39","204","10"
"63","11","James Conner","ARI","RB63","14","2 out of 5 stars","+7","206","11"
"64","11","Jaydon Blue","DAL","RB64","14","4 out of 5 stars","+21","221","11"
"65","11","Emanuel Wilson","SEA","RB65","11","4 out of 5 stars","+41","223","11"
"66","11","Kaytron Allen","WAS","RB66","7","4 out of 5 stars","+29","225","11"
"67","11","Jaylen Wright","MIA","RB67","6","3 out of 5 stars","+24","237","11"
"68","11","Justice Hill","BAL","RB68","13","3 out of 5 stars","-9","241","11"
"69","11","George Holani","SEA","RB69","11","4 out of 5 stars","+32","243","11"
"70","11","Ollie Gordon II","MIA","RB70","6","3 out of 5 stars","+57","247","11"
"71","12","Isaiah Davis","NYJ","RB71","13","3 out of 5 stars","+286","255","12"
"72","12","Kaelon Black","SF","RB72","8","2 out of 5 stars","-29","256","12"
"73","12","Demond Claiborne","MIN","RB73","6","4 out of 5 stars","+5","258","12"
"74","12","Najee Harris","NYG","RB74","8","4 out of 5 stars","-5","262","12"
"75","12","LeQuint Allen Jr.","JAC","RB75","7","4 out of 5 stars","+136","264","12"
"76","12","Ty Johnson","BUF","RB76","7","2 out of 5 stars","+55","265","12"
"77","12","Samaje Perine","CIN","RB77","6","2 out of 5 stars","+18","269","12"
"78","12","Jordan James","SF","RB78","8","2 out of 5 stars","-32","273","12"
"79","12","Chris Brooks","GB","RB79","11","4 out of 5 stars","+124","274","12"
