"RK","TIERS","PLAYER NAME","TEAM","POS","BYE WEEK","SOS SEASON","ECR VS. ADP","OVERALL RK","OVERALL TIER"
"1","1","Brock Bowers","LV","TE1","13","3 out of 5 stars","+7","15","3"
"2","1","Trey McBride","ARI","TE2","14","2 out of 5 stars","+1","20","3"
"3","2","Colston Loveland","CHI","TE3","10","2 out of 5 stars","+6","37","5"
"4","3","Tyler Warren","IND","TE4","13","3 out of 5 stars","0","52","6"
"5","3","Harold Fannin Jr.","CLE","TE5","11","3 out of 5 stars","-6","71","6"
"6","4","Tucker Kraft","GB","TE6","11","2 out of 5 stars","-7","75","7"
"7","4","Kyle Pitts Sr.","ATL","TE7","11","3 out of 5 stars","-14","81","7"
"8","4","Sam LaPorta","DET","TE8","6","3 out of 5 stars","-14","84","7"
"9","4","Travis Kelce","KC","TE9","5","4 out of 5 stars","-1","95","7"
"10","4","George Kittle","SF","TE10","8","3 out of 5 stars","-7","97","7"
"11","5","Dalton Kincaid","BUF","TE11","7","3 out of 5 stars","+10","111","8"
"12","5","Jake Ferguson","DAL","TE12","14","2 out of 5 stars","-5","116","8"
"13","5","Dallas Goedert","PHI","TE13","10","4 out of 5 stars","-5","118","8"
"14","5","Isaiah Likely","NYG","TE14","8","3 out of 5 stars","-17","123","8"
"15","5","Mark Andrews","BAL","TE15","13","4 out of 5 stars","-4","129","8"
"16","6","Juwan Johnson","NO","TE16","8","2 out of 5 stars","+21","132","9"
"17","6","Brenton Strange","JAC","TE17","7","3 out of 5 stars","+10","150","9"
"18","6","Chig Okonkwo","WAS","TE18","7","1 out of 5 stars","+27","151","9"
"19","6","Hunter Henry","NE","TE19","11","4 out of 5 stars","+2","154","9"
"20","6","Dalton Schultz","HOU","TE20","8","4 out of 5 stars","+28","155","9"
"21","7","T.J. Hockenson","MIN","TE21","6","4 out of 5 stars","-10","171","10"
"22","7","Oronde Gadsden II","LAC","TE22","7","4 out of 5 stars","+6","192","10"
"23","7","AJ Barner","SEA","TE23","11","3 out of 5 stars","-4","193","10"
"24","7","Gunnar Helm","TEN","TE24","9","3 out of 5 stars","+77","205","10"
"25","8","Terrance Ferguson","LAR","TE25","11","4 out of 5 stars","0","207","11"
"26","8","Kenyon Sadiq","NYJ","TE26","13","4 out of 5 stars","-46","211","11"
"27","8","Pat Freiermuth","PIT","TE27","9","2 out of 5 stars","-5","227","11"
"28","8","Cade Otton","TB","TE28","10","2 out of 5 stars","-5","229","11"
"29","8","Evan Engram","DEN","TE29","10","4 out of 5 stars","+117","239","11"
"30","8","David Njoku","LAC","TE30","7","4 out of 5 stars","-32","242","11"
"31","8","Greg Dulcich","MIA","TE31","6","5 out of 5 stars","-29","245","11"
"32","9","Colby Parkinson","LAR","TE32","11","4 out of 5 stars","+40","261","12"
"33","9","Mason Taylor","NYJ","TE33","13","4 out of 5 stars","+14","275","12"
"34","9","Theo Johnson","NYG","TE34","8","3 out of 5 stars","+44","280","12"
"35","9","Eli Stowers","PHI","TE35","10","4 out of 5 stars","-14","283","12"
"36","9","Mike Gesicki","CIN","TE36","6","3 out of 5 stars","+59","300","12"
"37","10","Oscar Delp","NO","TE37","8","2 out of 5 stars","+207","315","13"
"38","10","Jake Tonges","SF","TE38","8","3 out of 5 stars","-51","317","13"
"39","10","Darren Waller","CAR","TE39","5","2 out of 5 stars","+94","318","13"
"40","10","Darnell Washington","PIT","TE40","9","2 out of 5 stars","-30","322","13"
"41","10","Michael Mayer","LV","TE41","13","3 out of 5 stars","+120","324","13"
"42","10","Elijah Arroyo","SEA","TE42","11","3 out of 5 stars","+6","326","13"
"43","10","Charlie Kolar","LAC","TE43","7","4 out of 5 stars","+130","333","13"
"44","10","Erick All Jr.","CIN","TE44","6","3 out of 5 stars","-","340","13"
"45","10","Tyler Higbee","LAR","TE45","11","4 out of 5 stars","-4","341","13"
"46","10","Cole Kmet","CHI","TE46","10","2 out of 5 stars","-48","344","13"
"47","10","Max Klare","LAR","TE47","11","4 out of 5 stars","+8","346","13"
"48","10","Eli Raridon","NE","TE48","11","4 out of 5 stars","-9","349","13"
"49","10","Noah Gray","KC","TE49","5","4 out of 5 stars","+6","351","13"
"50","11","Dawson Knox","BUF","TE50","7","3 out of 5 stars","-46","355","14"
"51","11","Ja'Tavion Sanders","CAR","TE51","5","2 out of 5 stars","-30","359","14"
"52","11","Justin Joly","DEN","TE52","10","4 out of 5 stars","+79","369","14"
"53","11","Noah Fant","NO","TE53","8","2 out of 5 stars","-4","385","14"
"54","11","Tommy Tremble","CAR","TE54","5","2 out of 5 stars","-29","392","14"
"55","11","Luke Musgrave","GB","TE55","11","2 out of 5 stars","-11","403","14"
"56","11","John Bates","WAS","TE56","7","1 out of 5 stars","+205","412","14"
"57","11","Ben Sinnott","WAS","TE57","7","1 out of 5 stars","+205","415","14"
"58","11","Mitchell Evans","CAR","TE58","5","2 out of 5 stars","-","416","14"
"59","12","Austin Hooper","ATL","TE59","11","3 out of 5 stars","+61","423","15"
"60","12","Daniel Bellinger","TEN","TE60","9","3 out of 5 stars","+159","424","15"
"61","12","Tommy Myers","FA","TE61","-","-","-","427","15"
"62","12","Elijah Higgins","ARI","TE62","14","2 out of 5 stars","-62","428","15"
"63","12","Marlin Klein","HOU","TE63","8","4 out of 5 stars","+57","436","15"
"64","12","Jonnu Smith","FA","TE64","-","-","-","448","15"
"65","12","Will Kacmarek","MIA","TE65","6","5 out of 5 stars","-91","455","15"
"66","12","Josh Oliver","MIN","TE66","6","4 out of 5 stars","-80","460","15"
"67","12","Zach Ertz","FA","TE67","-","-","+133","465","15"
"68","12","Tanner Koziol","JAC","TE68","7","3 out of 5 stars","+14","472","15"
"69","12","Matt Hibner","BAL","TE69","13","4 out of 5 stars","-","481","15"
"70","12","Jackson Hawes","BUF","TE70","7","3 out of 5 stars","-16","483","15"
"71","12","Sam Roush","CHI","TE71","10","2 out of 5 stars","+59","487","15"
"72","13","Luke Schoonmaker","DAL","TE72","14","2 out of 5 stars","-120","494","16"
"73","13","Jeremy Ruckert","NYJ","TE73","13","4 out of 5 stars","+26","502","16"
"74","13","Drew Sample","CIN","TE74","6","3 out of 5 stars","+113","503","16"
"75","13","Adam Trautman","DEN","TE75","10","4 out of 5 stars","-84","505","16"
"76","13","Tanner Hudson","CIN","TE76","6","3 out of 5 stars","-","506","16"
"77","13","Durham Smythe","BAL","TE77","13","4 out of 5 stars","-3","508","16"
"78","13","Nate Boerkircher","JAC","TE78","7","3 out of 5 stars","+11","510","16"
"79","13","Cade Stover","HOU","TE79","8","4 out of 5 stars","+8","511","16"
"80","13","Foster Moreau","HOU","TE80","8","4 out of 5 stars","-","513","16"
"81","13","Tyler Conklin","DET","TE81","6","3 out of 5 stars","+27","517","16"
"82","13","Michael Trigg","DAL","TE82","14","2 out of 5 stars","-91","523","16"
"83","13","Taysom Hill","FA","TE83","-","-","+64","524","16"
