"RK","TIERS","PLAYER NAME","TEAM","POS","BYE WEEK","SOS SEASON","ECR VS. ADP","OVERALL RK","OVERALL TIER"
"1","1","Ja'Marr Chase","CIN","WR1","6","4 out of 5 stars","+2","1","1"
"2","1","Puka Nacua","LAR","WR2","11","1 out of 5 stars","+1","3","1"
"3","1","Jaxon Smith-Njigba","SEA","WR3","11","3 out of 5 stars","+1","5","1"
"4","1","Amon-Ra St. Brown","DET","WR4","6","4 out of 5 stars","+2","6","1"
"5","2","CeeDee Lamb","DAL","WR5","14","2 out of 5 stars","+4","7","2"
"6","2","Justin Jefferson","MIN","WR6","6","5 out of 5 stars","+4","8","2"
"7","2","Drake London","ATL","WR7","11","3 out of 5 stars","+8","11","2"
"8","3","A.J. Brown","NE","WR8","11","2 out of 5 stars","+8","12","3"
"9","3","Nico Collins","HOU","WR9","8","3 out of 5 stars","+12","13","3"
"10","3","Chris Olave","NO","WR10","8","3 out of 5 stars","+10","17","3"
"11","3","George Pickens","DAL","WR11","14","2 out of 5 stars","+6","18","3"
"12","3","Rashee Rice","KC","WR12","5","2 out of 5 stars","+5","21","3"
"13","4","DeVonta Smith","PHI","WR13","10","4 out of 5 stars","+12","22","4"
"14","4","Malik Nabers","NYG","WR14","8","4 out of 5 stars","+5","24","4"
"15","4","Garrett Wilson","NYJ","WR15","13","4 out of 5 stars","+11","29","4"
"16","4","Zay Flowers","BAL","WR16","13","4 out of 5 stars","+5","30","4"
"17","4","Tetairoa McMillan","CAR","WR17","5","2 out of 5 stars","+5","32","4"
"18","4","Ladd McConkey","LAC","WR18","7","2 out of 5 stars","+11","33","4"
"19","4","Jaylen Waddle","DEN","WR19","10","2 out of 5 stars","+14","34","4"
"20","5","Tee Higgins","CIN","WR20","6","4 out of 5 stars","+7","35","5"
"21","5","Emeka Egbuka","TB","WR21","10","4 out of 5 stars","-1","40","5"
"22","5","Terry McLaurin","WAS","WR22","7","2 out of 5 stars","+9","45","5"
"23","5","Luther Burden III","CHI","WR23","10","3 out of 5 stars","+9","47","5"
"24","5","Davante Adams","LAR","WR24","11","1 out of 5 stars","0","49","5"
"25","5","DJ Moore","BUF","WR25","7","4 out of 5 stars","0","51","5"
"26","6","Mike Evans","SF","WR26","8","2 out of 5 stars","+11","53","6"
"27","6","Jameson Williams","DET","WR27","6","4 out of 5 stars","+5","54","6"
"28","6","Rome Odunze","CHI","WR28","10","3 out of 5 stars","+3","58","6"
