"Player","Position","Team","ETR Full PPR","ETR Half PPR","ETR Std","ETR Superflex Full","ETR Superflex Half","ESPN ADP","Yahoo ADP","id"
"Jahmyr Gibbs","RB","DET","76","83","74","54","55","67","74","00-0039139"
"Bijan Robinson","RB","ATL","72","77","69","51","52","65","72","00-0038542"
"Ja'Marr Chase","WR","CIN","68","70","58","47","46","61","65","00-0036900"
"Puka Nacua","WR","LA","67","69","58","47","46","58","62","00-0039075"
"Jaxon Smith-Njigba","WR","SEA","66","69","60","46","46","58","59","00-0038543"
"Christian McCaffrey","RB","SF","60","62","54","43","41","54","60","00-0033280"
"Justin Jefferson","WR","MIN","56","58","51","39","39","49","48","00-0036322"
"Amon-Ra St Brown","WR","DET","54","55","46","37","36","55","56","00-0036963"
"Jonathan Taylor","RB","IND","51","59","58","36","39","54","59","00-0036223"
"CeeDee Lamb","WR","DAL","50","52","45","35","34","50","52","00-0036358"
"James Cook","RB","BUF","42","49","51","29","33","48","54","00-0037248"
"Saquon Barkley","RB","PHI","42","48","48","30","32","42","48","00-0034844"
"Chase Brown","RB","CIN","40","42","38","28","28","37","45","00-0038597"
"Kenneth Walker","RB","KC","39","43","41","27","28","36","42","00-0038134"
"Omarion Hampton","RB","LAC","39","42","39","27","27","35","44","00-0040666"
"De'Von Achane","RB","MIA","38","38","33","26","25","48","44","00-0039040"
"Derrick Henry","RB","BAL","37","47","53","26","31","38","39","00-0032764"
"Drake London","WR","ATL","37","37","33","25","25","39","39","00-0037238"
"Brock Bowers","TE","LV","37","36","31","25","24","32","36","00-0039338"
"Ashton Jeanty","RB","LV","36","38","35","25","25","42","47","00-0040122"
"AJ Brown","WR","NE","36","38","35","24","25","31","30","00-0035676"
"Nico Collins","WR","HOU","35","37","35","23","24","31","35","00-0036554"
"Chris Olave","WR","NO","35","35","31","24","23","27","24","00-0037239"
"Trey McBride","TE","ARI","34","32","26","23","21","35","30","00-0037744"
"George Pickens","WR","DAL","33","35","33","22","23","26","32","00-0037247"
"Rashee Rice","WR","KC","33","30","24","22","20","34","23","00-0039067"
"Malik Nabers","WR","NYG","32","33","30","22","21","26","26","00-0039337"
"Breece Hall","RB","NYJ","32","32","29","22","21","27","22","00-0038120"
"Jeremiyah Love","RB","ARI","31","31","29","22","20","36","29","ROOKIE jeremiyah love"
"Kyren Williams","RB","LA","30","33","34","21","22","22","26","00-0037840"
"Garrett Wilson","WR","NYJ","30","28","24","20","18","24","14","00-0037740"
"Travis Etienne","RB","NO","29","31","30","20","20","20","17","00-0036973"
"Javonte Williams","RB","DAL","28","31","33","19","20","25","23","00-0036997"
"Devonta Smith","WR","PHI","28","28","26","18","18","21","25","00-0036912"
"Ladd McConkey","WR","LAC","28","28","26","18","18","17","14","00-0039915"
"Josh Jacobs","RB","GB","27","31","32","19","20","25","24","00-0035700"
"Zay Flowers","WR","BAL","27","28","27","17","18","20","18","00-0039064"
"Josh Allen","QB","BUF","26","27","27","49","52","33","31","00-0034857"
"Emeka Egbuka","WR","TB","26","27","26","17","17","19","14","00-0040129"
"Jaylen Waddle","WR","DEN","26","26","25","16","17","14","15","00-0036613"
"Tee Higgins","WR","CIN","25","27","28","16","18","14","21","00-0036410"
"Colston Loveland","TE","CHI","24","25","24","16","16","15","18","00-0040126"
"D'Andre Swift","RB","CHI","23","26","28","16","17","11","13","00-0036275"
"Davante Adams","WR","LA","23","25","25","15","16","17","11","00-0031381"
"Tetairoa McMillan","WR","CAR","23","24","24","15","16","20","17","00-0040124"
"Luther Burden","WR","CHI","21","21","21","13","13","8","10","00-0040735"
"Jameson Williams","WR","DET","19","21","24","12","14","10","6","00-0037240"
"Terry McLaurin","WR","WAS","19","20","22","12","13","13","10","00-0035659"
"Cam Skattebo","RB","NYG","19","19","20","12","12","19","17","00-0040715"
"Bucky Irving","RB","TB","19","19","18","13","12","16","11","00-0039361"
"DJ Moore","WR","BUF","17","17","19","10","11","12","8","00-0034827"
"Lamar Jackson","QB","BAL","17","16","16","43","45","19","16","00-0034796"
"Mike Evans","WR","SF","16","18","21","9","11","5","6","00-0031408"
"David Montgomery","RB","HOU","15","17","21","10","11","10","12","00-0035685"
"Rhamondre Stevenson","RB","NE","15","15","17","10","9","5","4","00-0036875"
"Bhayshul Tuten","RB","JAX","15","15","16","10","9","10","9","00-0040719"
"Jayden Daniels","QB","WAS","15","13","14","41","43","13","7","00-0039910"
"Tyler Warren","TE","IND","15","13","13","9","8","13","13","00-0040128"
"Jadarian Price","RB","SEA","14","16","20","9","10","10","9","ROOKIE jadarian price"
"Quinshon Judkins","RB","CLE","14","15","17","9","9","17","12","00-0040784"
"Parker Washington","WR","JAX","14","14","16","8","9","5","3","00-0038606"
"TreVeyon Henderson","RB","NE","14","13","14","9","8","8","8","00-0040734"
"Jaylen Warren","RB","PIT","14","10","8","9","6","4","4","00-0037228"
"Jalen Hurts","QB","PHI","13","11","11","40","41","13","6","00-0036389"
"Joe Burrow","QB","CIN","13","10","11","40","41","11","9","00-0036442"
"Christian Watson","WR","GB","12","14","18","6","8","4","6","00-0038124"
"DK Metcalf","WR","PIT","12","12","14","7","7","5","2","00-0035640"
"Rico Dowdle","RB","PIT","11","10","11","7","6","3","4","00-0036139"
"Carnell Tate","WR","TEN","11","10","11","6","6","7","4","ROOKIE carnell tate"
"Drake Maye","QB","NE","11","8","8","38","39","14","10","00-0039851"
