Sleeper Name,Position,Auction Value Name,Tier Name
Patrick Mahomes,QB,Patrick Mahomes,Patrick Mahomes II
Aaron Jones,RB,Aaron Jones,Aaron Jones Sr.
Brian Robinson,RB,Brian Robinson,Brian Robinson Jr.
Chris Rodriguez,RB,Chris Rodriguez,Chris Rodriguez Jr.
J.K. Dobbins,RB,JK Dobbins,J.K. Dobbins
James Cook,RB,James Cook,James Cook III
Kenneth Walker,RB,Kenneth Walker,Kenneth Walker III
Kenny Gainwell,RB,Kenneth Gainwell,Kenny Gainwell
Mike Washington,RB,Mike Washington,Mike Washington Jr.
Travis Etienne,RB,Travis Etienne,Travis Etienne Jr.
Trey Benson,RB,Trey Benson,Trey Benson
Tyrone Tracy,RB,Tyrone Tracy,Tyrone Tracy Jr.
Harold Fannin,TE,Harold Fannin,Harold Fannin Jr.
Kyle Pitts,TE,Kyle Pitts,Kyle Pitts Sr.
Oronde Gadsden,TE,Oronde Gadsden,Oronde Gadsden II
A.J. Brown,WR,AJ Brown,A.J. Brown
Amon-Ra St. Brown,WR,Amon-Ra St Brown,Amon-Ra St. Brown
Brian Thomas,WR,Brian Thomas,Brian Thomas Jr.
Chris Godwin,WR,Chris Godwin,Chris Godwin Jr.
DeVonta Smith,WR,Devonta Smith,DeVonta Smith
Deebo Samuel,WR,Deebo Samuel,Deebo Samuel Sr.
Luther Burden,WR,Luther Burden,Luther Burden III
Marvin Harrison,WR,Marvin Harrison,Marvin Harrison Jr.
Michael Pittman,WR,Michael Pittman,Michael Pittman Jr.
Omar Cooper,WR,Omar Cooper,Omar Cooper Jr.
Tyreek Hill,WR,Tyreek Hill,Tyreek Hill
