"Sleeper Name","Position","Team","Sale Price"
"Bijan Robinson","RB","ATL","82"
"Jahmyr Gibbs","RB","DET","79"
"Jonathan Taylor","RB","IND","67"
"Christian McCaffrey","RB","SF","64"
"James Cook","RB","BUF","64"
"Ja'Marr Chase","WR","CIN","60"
"Derrick Henry","RB","BAL","54"
"De'Von Achane","RB","MIA","53"
"Puka Nacua","WR","LAR","52"
"Jaxon Smith-Njigba","WR","SEA","48"
"Ashton Jeanty","RB","LV","48"
"Omarion Hampton","RB","LAC","47"
"Kyren Williams","RB","LAR","46"
"Saquon Barkley","RB","PHI","44"
"CeeDee Lamb","WR","DAL","41"
"Josh Allen","QB","BUF","40"
"Jeremiyah Love","RB","ARI","38"
"Amon-Ra St. Brown","WR","DET","38"
"Chase Brown","RB","CIN","37"
"Justin Jefferson","WR","MIN","34"
"Josh Jacobs","RB","GB","34"
"Drake London","WR","ATL","34"
"Kenneth Walker","RB","KC","33"
"Trey McBride","TE","ARI","33"
"Lamar Jackson","QB","BAL","32"
"Nico Collins","WR","HOU","32"
"Travis Etienne","RB","NO","31"
"George Pickens","WR","DAL","31"
"Breece Hall","RB","NYJ","31"
"Brock Bowers","TE","LV","30"
"Chris Olave","WR","NO","29"
"Javonte Williams","RB","DAL","28"
"Bucky Irving","RB","TB","27"
"A.J. Brown","WR","NE","27"
"Rashee Rice","WR","KC","25"
"Tee Higgins","WR","CIN","24"
"Malik Nabers","WR","NYG","24"
"TreVeyon Henderson","RB","NE","22"
"Garrett Wilson","WR","NYJ","21"
"Tetairoa McMillan","WR","CAR","21"
"Cam Skattebo","RB","NYG","20"
"Luther Burden","WR","CHI","20"
"Jaylen Waddle","WR","DEN","20"
"RJ Harvey","RB","DEN","20"
"Quinshon Judkins","RB","CLE","19"
"Bhayshul Tuten","RB","JAX","19"
"Davante Adams","WR","LAR","19"
"Ladd McConkey","WR","LAC","18"
"D'Andre Swift","RB","CHI","18"
"David Montgomery","RB","HOU","18"
"DeVonta Smith","WR","PHI","17"
"Zay Flowers","WR","BAL","17"
"Jaylen Warren","RB","PIT","17"
"Jameson Williams","WR","DET","17"
"Drake Maye","QB","NE","17"
"Colston Loveland","TE","CHI","17"
"Terry McLaurin","WR","WAS","16"
"Emeka Egbuka","WR","TB","16"
"Rhamondre Stevenson","RB","NE","16"
"Tyler Warren","TE","IND","16"
"DJ Moore","WR","BUF","15"
"Joe Burrow","QB","CIN","15"
"Kyle Monangai","RB","CHI","15"
"Carnell Tate","WR","TEN","15"
"Harold Fannin","TE","CLE","15"
"Tony Pollard","RB","TEN","15"
"Mike Evans","WR","SF","15"
"Christian Watson","WR","GB","14"
"Blake Corum","RB","LAR","13"
"Chuba Hubbard","RB","CAR","13"
"Jayden Daniels","QB","WAS","13"
"Jordyn Tyson","WR","NO","12"
"Rome Odunze","WR","CHI","11"
"Jalen Hurts","QB","PHI","11"
"DK Metcalf","WR","PIT","9"
"J.K. Dobbins","RB","DEN","9"
"Michael Wilson","WR","ARI","9"
"Jakobi Meyers","WR","JAX","8"
"Brian Robinson","RB","ATL","8"
"Rico Dowdle","RB","PIT","7"
"Courtland Sutton","WR","DEN","7"
"Brian Thomas","WR","JAX","5"
"Kenny Gainwell","RB","TB","5"
"Kyle Pitts","TE","ATL","4"
"Tucker Kraft","TE","GB","4"
"Makai Lemon","WR","PHI","4"
"Jaxson Dart","QB","NYG","3"
"Jacory Croskey-Merritt","RB","WAS","3"
"Parker Washington","WR","JAX","2"
"Marvin Harrison","WR","ARI","2"
"Justin Herbert","QB","LAC","2"
"Aaron Jones","RB","MIN","2"
"Jordan Addison","WR","MIN","2"
"Alec Pierce","WR","IND","2"
"Patrick Mahomes","QB","KC","2"
"Sam LaPorta","TE","DET","1"
"Dalton Kincaid","TE","BUF","1"
"Oronde Gadsden","TE","LAC","1"
"Caleb Williams","QB","CHI","1"
"Chris Godwin","WR","TB","1"
"Hunter Henry","TE","NE","1"
"Jake Ferguson","TE","DAL","1"
"Dalton Schultz","TE","HOU","1"
"George Kittle","TE","SF","1"
"Brandon Aubrey","K","DAL","1"
"Trevor Lawrence","QB","JAX","1"
"Juwan Johnson","TE","NO","1"
"Dak Prescott","QB","DAL","1"
"Brenton Strange","TE","JAX","1"
"Zach Charbonnet","RB","SEA","1"
