RK,TIERS,PLAYER NAME,TEAM,BYE WEEK,SOS SEASON,ECR VS. ADP,Normalized Name_x,Mapped Name,Player,Team,Position,Value,Position Rank,Unnamed: 5,Normalized Name_y
1,1,Josh Allen,BUF,12,1 out of 5 stars,0,josh allen,josh allen,Josh Allen,BUF,QB,$35,QB2,,josh allen
2,1,Jalen Hurts,PHI,5,2 out of 5 stars,1,jalen hurts,jalen hurts,Jalen Hurts,PHI,QB,$35,QB1,,jalen hurts
3,1,Patrick Mahomes II,KC,6,3 out of 5 stars,-1,patrick mahomes,patrick mahomes,Patrick Mahomes,KC,QB,$26,QB4,,patrick mahomes
4,1,Lamar Jackson,BAL,14,4 out of 5 stars,0,lamar jackson,lamar jackson,Lamar Jackson,BAL,QB,$29,QB3,,lamar jackson
5,2,Anthony Richardson,IND,14,5 out of 5 stars,1,anthony richardson,anthony richardson,Anthony Richardson,IND,QB,$16,QB5,,anthony richardson
6,2,C.J. Stroud,HOU,14,2 out of 5 stars,-1,c.j. stroud,c.j. stroud,C.J. Stroud,HOU,QB,$12,QB6,,c.j. stroud
7,2,Kyler Murray,ARI,11,2 out of 5 stars,3,kyler murray,kyler murray,Kyler Murray,ARI,QB,$11,QB8,,kyler murray
8,2,Joe Burrow,CIN,12,2 out of 5 stars,-1,joe burrow,joe burrow,Joe Burrow,CIN,QB,$11,QB7,,joe burrow
9,2,Dak Prescott,DAL,7,2 out of 5 stars,-1,dak prescott,dak prescott,Dak Prescott,DAL,QB,$9,QB9,,dak prescott
10,3,Jordan Love,GB,10,5 out of 5 stars,-1,jordan love,jordan love,Jordan Love,GB,QB,$4,QB11,,jordan love
11,3,Brock Purdy,SF,9,2 out of 5 stars,0,brock purdy,brock purdy,Brock Purdy,SF,QB,$1,QB14,,brock purdy
12,3,Jayden Daniels,WAS,14,3 out of 5 stars,1,jayden daniels,jayden daniels,Jayden Daniels,WAS,QB,$5,QB10,,jayden daniels
13,3,Tua Tagovailoa,MIA,6,2 out of 5 stars,1,tua tagovailoa,tua tagovailoa,Tua Tagovailoa,MIA,QB,$1,QB15,,tua tagovailoa
14,3,Jared Goff,DET,5,4 out of 5 stars,-2,jared goff,jared goff,Jared Goff,DET,QB,$1,QB17,,jared goff
15,3,Caleb Williams,CHI,7,4 out of 5 stars,0,caleb williams,caleb williams,Caleb Williams,CHI,QB,$4,QB12,,caleb williams
16,3,Trevor Lawrence,JAC,12,5 out of 5 stars,1,trevor lawrence,trevor lawrence,Trevor Lawrence,JAX,QB,$1,QB13,,trevor lawrence
17,4,Justin Herbert,LAC,5,2 out of 5 stars,-1,justin herbert,justin herbert,Justin Herbert,LAC,QB,$1,QB18,,justin herbert
18,4,Kirk Cousins,ATL,12,3 out of 5 stars,1,kirk cousins,kirk cousins,Kirk Cousins,ATL,QB,$1,QB16,,kirk cousins
19,4,Matthew Stafford,LAR,6,4 out of 5 stars,2,matthew stafford,matthew stafford,Matthew Stafford,LAR,QB,$0,QB22,,matthew stafford
20,4,Aaron Rodgers,NYJ,12,2 out of 5 stars,-2,aaron rodgers,aaron rodgers,Aaron Rodgers,NYJ,QB,$0,QB20,,aaron rodgers
21,4,Deshaun Watson,CLE,10,4 out of 5 stars,2,deshaun watson,deshaun watson,Deshaun Watson,CLE,QB,$0,QB19,,deshaun watson
22,4,Baker Mayfield,TB,11,2 out of 5 stars,0,baker mayfield,baker mayfield,Baker Mayfield,TB,QB,$0,QB21,,baker mayfield
23,4,Geno Smith,SEA,10,3 out of 5 stars,3,geno smith,geno smith,Geno Smith,SEA,QB,$0,QB23,,geno smith
24,4,Will Levis,TEN,5,5 out of 5 stars,0,will levis,will levis,Will Levis,TEN,QB,$0,QB25,,will levis
25,4,Derek Carr,NO,12,4 out of 5 stars,7,derek carr,derek carr,Derek Carr,NO,QB,$0,QB24,,derek carr
26,5,Daniel Jones,NYG,11,2 out of 5 stars,5,daniel jones,daniel jones,,,,,,,
27,5,Bryce Young,CAR,11,5 out of 5 stars,2,bryce young,bryce young,,,,,,,
28,5,Russell Wilson,PIT,9,2 out of 5 stars,-1,russell wilson,russell wilson,,,,,,,
29,5,Bo Nix,DEN,14,2 out of 5 stars,-4,bo nix,bo nix,,,,,,,
30,5,J.J. McCarthy,MIN,6,5 out of 5 stars,-10,j.j. mccarthy,j.j. mccarthy,,,,,,,
31,5,Drake Maye,NE,14,3 out of 5 stars,-1,drake maye,drake maye,Drake Maye,NE,QB,$0,QB26,,drake maye
32,5,Justin Fields,PIT,9,2 out of 5 stars,-4,justin fields,justin fields,Justin Fields,PIT,QB,$0,QB27,,justin fields
33,5,Gardner Minshew II,LV,10,2 out of 5 stars,1,gardner minshew,gardner minshew,,,,,,,
34,5,Sam Darnold,MIN,6,5 out of 5 stars,1,sam darnold,sam darnold,,,,,,,
35,5,Aidan O'Connell,LV,10,2 out of 5 stars,1,aidan o'connell,aidan o'connell,,,,,,,
36,5,Jacoby Brissett,NE,14,3 out of 5 stars,1,jacoby brissett,jacoby brissett,,,,,,,
37,6,Michael Penix Jr.,ATL,12,3 out of 5 stars,-4,michael penix,michael penix,,,,,,,
38,6,Sam Howell,SEA,10,3 out of 5 stars,1,sam howell,sam howell,,,,,,,
39,6,Drew Lock,NYG,11,2 out of 5 stars,8,drew lock,drew lock,,,,,,,
40,6,Jameis Winston,CLE,10,4 out of 5 stars,8,jameis winston,jameis winston,,,,,,,
41,6,Joe Flacco,IND,14,5 out of 5 stars,-1,joe flacco,joe flacco,,,,,,,
42,6,Jake Browning,CIN,12,2 out of 5 stars,-1,jake browning,jake browning,,,,,,,
43,6,Kenny Pickett,PHI,5,2 out of 5 stars,-5,kenny pickett,kenny pickett,,,,,,,
44,6,Jarrett Stidham,DEN,14,2 out of 5 stars,19,jarrett stidham,jarrett stidham,,,,,,,
45,7,Joshua Dobbs,SF,9,2 out of 5 stars,-1,joshua dobbs,joshua dobbs,,,,,,,
46,7,Tyrod Taylor,NYJ,12,2 out of 5 stars,28,tyrod taylor,tyrod taylor,,,,,,,
47,7,Marcus Mariota,WAS,14,3 out of 5 stars,29,marcus mariota,marcus mariota,,,,,,,
48,7,Carson Wentz,KC,6,3 out of 5 stars,2,carson wentz,carson wentz,,,,,,,
