Original_Name,Mapped_Name
Pierre Strong,Pierre Strong Jr.
Jeff Wilson,Jeff Wilson Jr.
Kenneth Walker,Kenneth Walker III
Brian Robinson,Brian Robinson Jr.
John Metchie,John Metchie III
D'Andre Swift,D'Andre Swift
JK Dobbins,J.K. Dobbins
DeVon Achane,Devon Achane
D'Onta Foreman,D'Onta Foreman
Clyde Edwards-Helaire,Clyde Edwards-Helaire
Ja'Marr Chase,Ja'Marr Chase
AJ Brown,A.J. Brown
Amon-Ra St. Brown,Amon-Ra St. Brown
Jaxon Smith-Njigba,Jaxon Smith-Njigba
JuJu Smith-Schuster,JuJu Smith-Schuster
Marvin Mims,Marvin Mims
DJ Chark,D.J. Chark Jr.
KJ Osborn,K.J. Osborn
Donovan Peoples-Jones,Donovan Peoples-Jones
Marquez Valdes-Scantling,Marquez Valdes-Scantling
